,AZ_F1_11_a,AZ_F1_201_c,AZ_F1_202_b,AZ_F1_202_c,AZ_F1_202_d,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_203_g,AZ_F1_203_h,AZ_F1_206_a,AZ_F1_207_c,AZ_F1_3_b,AZ_F1_3_f,AZ_F1_3_g,AZ_F1_7_b,AZ_F1_7_c,AZ_F1_7_d
LOC121823907,0,0,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2
Nol4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823908,0.5,1.5,1.5,2,3,2,2,2,1,1,2,0.5,2,3,0,1.5,1,0
Asxl3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trnak-cuu-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klhl14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Garem1,25,16,12,20,27,24,16,15,18,40,26,8,18,16,19,21,27,20
LOC121824036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mep1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnf138,1,3,0,1,1,1,4,5,5,9,2,2,0,3,2,3,1,1
Rnf125,9,12,9,17,13,7,11.33,16,9,22,23,9,9,6,14,8,14,15
LOC102909903,0,1,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2
Trappc8,38,36,30,35,40,37,39,34,45,44,52,36,29,24,30,30,23,42
LOC121824134,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttr,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
LOC121823952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dsg2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dsg3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dsg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dsc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102925485,2,3,1,1,0,1,0,2,2,4,0,1,0,0,2,1,1,1
LOC121825375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102911850,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdh2,0,1,1,3,1,1,0,0,1,3,2,1,2,1,2,2,1,1
LOC121823958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102913274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taf4b,2,0,4,2,2,1,1,2,3,2,1,2,0,2,2,1,0,3
Kctd1,0,1,0,0,0,0,1,2,2,2,1,0,2,1,0,1,0,1
LOC121824164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cldn6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psma8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823951,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Znf521,2.5,4.5,3,3,1.5,3.5,3,7,1.5,3,5.5,4,0.5,3.5,5.5,3.5,1.5,1.5
LOC121824151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hrh4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact,1,1,3,0,2,0,3,1,1.5,1,0,2,0,0,0,5,2,0
Osbpl1a,2,0,2,2,0,4,1,2,1,2,2,2,0,1,2,1,1,0
LOC121823880,0,4,2,0,1,0,1,1,1,0,0,1,0,0,1,0,1,5
Cabyr,1,3,4,3,2,4,1,4,4,3,3,3,2,3,1,1,2,2
LOC121823879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ttc39c,14,7,14,12,13,12,8,15,12,12,12,8,9,12,9,6,18,12
LOC121823881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lama3,0,0,0,0,0,0,0.5,1,1,0,0,1,1,0,1.5,0,0.5,0.5
LOC121826642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankrd29,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
LOC121823939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npc1,1,2,1,1,3,6,3,2,6,7,3,3,2,3,9,3,4,3
Rmc1,20,14,14,13,11,10,12,15,25,14,21,13,11,8,7,10,9,13
LOC121824174,0.2,2,1,0.2,1.25,1.2,1,4,0.2,1.2,2,3,0,1.2,0,0.2,0.2,1
Riok3,97,94,91,125,132,109,124,101,127,91,130,92,97,91,86,125,94,103
LOC121823883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cables1,2,2,3,5,2,4,4,3,4,8,4,2,3,3,5,3,2,8
LOC121830462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbbp8,4,4,7,12,6,7,4,6,10,8,6,4,8,14,6,5,3,6
LOC121823986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102928544,2,1,0,2,3,1,0,1,2,1,4,3,0,0,0,1,1,2
LOC121823959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mib1,28,31,45,48,39,39,31,34,40,49,52,36,25,37,37,40,43,55
LOC121824042,26,142,154,25,17,9,121,100,27,126,65,111,23,25,17,12,19,84
LOC121824025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snrpd1,11.32,7.52,5.87,8.8,4.88,7.9,8.47,7.03,6.85,11.75,9.25,4.48,4.53,9.7,6.5,5.22,8.08,8.32
Esco1,20,42,30,29,36,21,32,32,28,58,35,24,30,29,26,37,20,33
Greb1l,1,1,0,1,0,0,0,1,0,4,3,0,0,2,2,0,0,1
LOC121823998,0,1,0,1,0,3,0,2,1,2,1,1,1,1,0,1,2,1
Rock1,32,55,41,58,43,42,52,50,45,55,62,53,39,34,39,41,46,67
Usp14,28,27,40,41,43,28,28,28,46,35,32,19,24,39,24,51,26,36
Thoc1,14,17,26,11,17,19,23,26,24,22,21,19,11,17,17,17,16,26
LOC121823956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colec12,15,15,20,39,23,16,16,10,19,21,9,16,12,16,20,14,12,11
Cetn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121821548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121821850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121827142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpk1,0,0.5,0,0,1,0,1,0,1,1,0,0,0,1,1,0.5,0,0
Slc12a7,0.33,0.33,0,1.33,0.33,0.33,0.67,1,0,1.33,1,1.33,0,0.67,0.67,1,1.33,0.67
Lrrc41,8,11.33,8,11.33,9.33,11.33,9.17,10.33,8.33,8,6.67,6,6.33,8.33,10.33,9,10.33,7.33
Rpa3,5,4.5,8.5,14,7,8,9.5,6,9.5,7.5,8,6.5,2,11,5,7,8.5,5
Ccng2,16,21.5,14.5,13,18,13,11.5,20.5,20,8,15,12.5,11.5,8.5,14.5,20.5,20.5,13
Tmem86a,16.5,12,19,13,10.5,5.5,6.5,9,13,12,12.5,17,4.5,4,14,11,7,10
Igsf22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121820840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121821815,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5
Ogdhl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121829369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tti1,0.5,0.5,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0.5
LOC102918597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traf5,1,2.5,4,2.5,5,4,2.5,5.5,2.5,3,6.5,4.5,2,3.5,3.5,3.5,1.5,3
Gabrb1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
LOC107402998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
LOC102909635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0
LOC121832503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnpy2,35.75,34.25,29.75,53.25,35.2,38.25,26.25,36.5,41.25,30.75,31.75,26.25,30.75,41.25,30,40.5,30.25,34
LOC121829276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823136,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
Pus10,8.5,11,6.5,11,8.5,10,8,8,10,6.5,9,8.5,4,7,8.5,6.5,4.5,7
Gpatch2l,2.5,7,4.5,8,9,5.5,7,6,5.5,7.5,4,4.5,4,5,6,4,3,5.5
LOC121831784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnpo1,36,45,45,46,58,44,37,41,49,62,38,50,41,43,28,59,36,55
LOC102919125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102915608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121829070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121829071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822847,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0
Ak6,35.5,28,36,41,56,53.67,49,44,56,30,41,33,32.5,48,29,37.5,46.33,32
Taf9,19.17,27.33,34.17,41.17,27.17,32,23.33,36.17,40.17,49.83,28.33,23.67,29.5,39.83,31.33,22.83,35.5,34.83
LOC121822699,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
LOC121826572,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,1,0,0,0,0,0.5
Szrd1,28,16,24,47,44,50.5,25,31.5,38.5,26,20.5,25,28.5,41,32,28.5,23,22
Lrrc74b,6.5,19,14.5,5.5,13.5,15.5,30,31.5,10.5,35,14.5,10.5,10,12,11,13.5,10.5,29.5
Cpn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102926815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121821399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wt1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121831003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap2a2,58,55,75,77,73,76,49,54,70,54,78,60,55,70,55,89,73,66
Amdhd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acss2,12,16.5,8,6.5,12,10,6,12,12.5,20,21.5,6,9.5,8.5,6.5,9,9.5,14.5
Gss,3,1,4,3,4,2.5,2,2.5,2,4.5,1.5,4,2,2.5,1,3,3.5,3
LOC121827676,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0
LOC102913368,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102920890,10.5,11.5,13,17.5,16,15.5,14,10.5,16.5,15,12,16,7.5,18,10.5,13.5,8,18.5
LOC121830733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EI127_mgp01,583,539,450,390,407,527,481,600,492,531.5,533,333,365,419,299,468,525,598
Nup107,0,0.5,1,1,0,1,0,0.5,0.5,0.5,0.5,0,0,0,0,1,0,0
LOC102927669,99.5,99,74.5,90.5,124,115.5,76,103,101.5,101,97.5,102.5,76.5,98.5,70,106.5,88.5,93
LOC107401642,0.5,3.7,1.2,0,1,0.5,4.5,4.5,0.5,1.5,4,2.5,0,0.5,1,0,1.5,5.5
LOC121820890,0,0.2,2.2,3,0,0,0.4,0.6,1,1.2,0,0,0,0.2,1,0.2,0,0
Crx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102906083,1.75,4.75,2,4.25,1,3.5,2.5,2.5,2,6,3.33,2.75,1.5,2,1.5,1.5,2,6.5
Rhot1,14,15,10.5,18,19,19,17,19,17,19.5,14.5,14.5,12.5,14,14.5,19.5,11,17
LOC121828012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121828013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabp1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
LOC121831446,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5
Atad2,1.5,0,0.83,0,0,0,0.5,0.33,0.5,0.5,0.5,0.5,0.5,0.5,1.33,1,1,1.5
Cacna1b,0,1.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,1,0,0,0,1
LOC102904924,48,55,35,49,54,73,57,57,56,47,54,49,28,26,39,61,42,85
LOC121827237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121830726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121832214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Znf367,1,2,1,3.5,2,3,1,4,2,2,1,2,3,1.5,2,1,1.5,1
Slc35d2,0.5,1,3,1,0.5,1.5,2,1.5,1,2,1.5,1.5,0.5,1,0,2,1,1.5
Trnac-gca-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trnac-gca-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cth,4,8,4,1.5,4,2.5,5.5,3.5,7,17,6,4.5,5,3,8.5,3,2,4
Clint1,12.5,10,14,23,20,21.5,18,21.5,30.5,17.5,20.5,17,14.5,16,17.5,24,17,15
LOC121825025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121832744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121826680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121832307,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0.33
Wdr87,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spz1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankrd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5
Pcdh10,0.5,0,0,0.5,0,0,0,0,0.5,0,1,0,0.2,1.5,0,0,0,0
LOC102919403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33
LOC107401467,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
LOC102919789,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,1,0,0
LOC102919485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mios,0.5,0.5,1,1,0,1.5,2.5,2,1,1.5,3,1.5,1.5,0.5,1,0.5,1,0
Basp1,0,1,0.5,2,1,0.5,1,0.5,1,2,0.5,0,0.5,0.5,3,0,1.5,0
Mta2,14,9,7,13,12.5,18,7,11,15,12,9,12,10.5,15.5,16.5,13.5,11,16
Gimap4,8,26.5,14,21.5,26,25,23,25,30.5,21,29.5,24,18,21.5,19.5,14,14.5,28
LOC102916280,4,22,14.5,14,9,11,26.5,15,17.5,10.5,21.5,13.5,8.5,19,13.5,7,11,17.5
Irf5,1.5,0,1.5,1.5,0,1.5,0,0,0,0,2,2,0,1.5,1,0,0.5,1
Dnajc9,18,12,17,19,21,18,13,19,18,18,14,12,9,15,14,8,14,17
Fam149b1,16,15,15,26,24,18,15,16,19,22,23,15,16,20,16,19,21,33
Tasp1,0,0,0.5,0.5,0,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0
LOC121829102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102924020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krt84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rgl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stmn3,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0.5
Bop1,8,6,5.5,6,9,8,7,8,8,9.5,5.5,10.5,11,6,8,7,9.5,8
LOC121828297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomm34,7.33,7,2.67,8.33,7,6.5,6,6.33,7.5,13.17,11.5,10.5,7.67,3.83,6.33,15.67,10.83,16.83
LOC121828866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pnn,10.67,24.67,34.5,21.17,25.17,17,30.83,39.5,25.33,41,41.33,39.17,20,17.17,14.67,33.33,14.33,27.33
Sec14l1,29.5,49.5,37,65.5,74,59,48.5,66,67.5,63.5,45,40.5,44,31.5,33,41.5,49.5,51
LOC121828337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp11a,0.5,0,0.5,1,1,0.5,0,1,0,0,0.5,2,1.5,0,0,1,0,0
Ppp2r1b,3.5,5.5,10.5,2.5,5.5,7,10,5.5,8.5,7,4,3.5,3.5,5.5,4.5,2.5,3,3.5
Sik2,3.5,5,9.5,2,5,6.5,9.5,6,8.5,6,3.5,3.5,3.5,5.5,4.5,2,3,3.5
Xrn1,5.5,5,9.5,10,13,5,8.5,9,5,6.5,8.5,5.5,3.5,5.5,6.5,6,7,6.5
LOC102922186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ppwd1,5,9,9.5,8.5,8.5,9,9.5,12,11,7.5,8.5,10,8,3.5,3,6,8,10.5
Ttyh3,3,1,1,1.5,2,2,0,0,0,2,0,2,0,0,0.5,0,0.5,1
LOC121824956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap32,1.5,1.5,2,1.5,1,2.5,2.5,3.5,1,2,0.5,3.5,1,2.5,0,0,0.5,2.5
Slc13a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc43,41.83,27,36.08,34.17,36.08,39.08,33.5,31.58,35.17,31.42,30.25,24.83,23.92,34.08,33.92,37.83,29.67,32.92
LOC121826697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pcdh12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ovol1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102927858,17.05,17.85,14.6,22.7,18.3,23.15,17.05,16.8,14.7,11.95,23.45,18.75,13,15.05,16.45,19.5,16,19.25
LOC121827467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825821,1,1,1,0,0,2,0,1,0,1.5,0,0,1,1,1,2,2,0.2
LOC102922607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121823680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102915460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mmaa,8.5,6,6,4.5,8,9,5.5,9.5,8,12.5,9.5,6,7.5,9,10,8.5,5.5,10
LOC102924575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102910706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LOC102909743,6,8,5,4,6,4,6,9,4,3,3,10,4,3,2,5,2,9
Lrrc14b,86,80,92,100,89,97,77,91,93,64,102,75,57,76,85,94,91,80
Ccdc127,89,88,69,111.9,128,123,88.2,94.2,110.4,94.5,94.7,110,103.5,98.4,65.7,108.9,81.2,101.4
Sdha,1147,1065.33,912,1193,1266.67,1106,855,1157,1046.33,1178.33,1105.33,1106.67,1073.2,877,837.33,1454.33,1224.33,1428.33
Pdcd6,33,45,57,56,56,38,48,49,48,69,30,43,32,41,38,58,45,53
Exoc3,16,22,34,11,26,16,22,21,25,25,20,8,13,10,22,25,16,21
Slc9a3,4,1,7,4.33,7,4,8,12.5,4,7,6,10,11,6,3,10,8.33,9
LOC121822681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cep72,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0
LOC102905723,8,23,17,14,11,17,17,20,24,16,30,12,12,18,14,12,9,15
LOC102910394,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1
Brd9,3,5,5,9,10,3,11,9,7,8,7,9,7,13,3,4,5,10
Trip13,1,0,0,1,1,0,0,0,2,2,1,1,2,0,0,0,1,2
LOC121822882,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
LOC121822883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822884,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc6a19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc6a18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tert,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Clptm1l,62,57,58,90,85,92,73,73,84,63,64,64,52,72,84,84,64,69
LOC121823003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc6a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lpcat1,3,13,3,4,6,8,6,7,6,5,3,9,7,3,3,6,5,10
LOC121822906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ndufs6,340,295.5,339,401.5,446.5,378,306,327,367.5,393,302,252,313.5,439.5,284,354.5,312.5,368.5
Irx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irx2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC121822682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC121822683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irx1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121825419,1,1.13,0.4,0,1.2,0,0.9,1,0.25,0.2,1.5,0.6,0.2,0.6,0.2,2.1,0.5,1.1
Adamts16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ice1,29.5,25,43,19,28,29,46.5,68.5,36.5,47,46.5,36,23,17,23,31.5,25,49
LOC121822684,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LOC121822888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121822686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102924883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Med10,14,22,19,38,19,35,26,26,37,24,16,13,23,34,13,24,21,25
Ube2ql1,1,2,5,7,8,6,2,6,7,2,8,3,5,4,4,3,8,3
Nsun2,29,29,23,46,33,47,37,39,32,34,33,29,22,18,27,38,32,38
Srd5a1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC121822687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tent4a,4,5,2,4,8,1,9,7,4,7,12,10,6,7,6,3,5,8
LOC121822688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adcy2,62,62,31,39,108,83,88,89,86,77,72,47,52,71,47,62,41,53
C15H5orf49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Fastkd3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,2
Mtrr,15,15,18,18,12,31,17,17,27,16,22,16,17,18,13,17,11,19
LOC121822891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107399327,0,1.33,0,0,0.5,0.5,0.7,0.2,0.5,0.2,0,0.75,0,1,0,0.5,0,0
LOC102908514,1,0.33,0,0,1,0.5,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0
LOC102926918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
