Mouse_ID,Species,Strain,Sex,Family,DOB,Habitat,Treatment,Replicate,Cage_ID,DOD,Comments,Elevation,Mass,hb,hct,heart,lv_sep,rv,lungs_wet,BAT,Start_Mass,Final_V02max,InitialVO2max
ML_F1_5_a,P. melanophrys,ML,M,ML-5,1/22/15,highland,3000,1,ML_3000-1,5/7/16,,1500,65.6,10.3,0.488575307,0.2452,0.1709,0.0295,0.3372,0.3086,53.8,4.781505422,4.618041287
ML_F1_5_d,P. melanophrys,ML,F,ML-5,4/1/15,highland,4500,2,ML_4500-2,5/11/16,,1500,53.8,13.4,0.504854627,0.2333,0.1525,0.0339,0.3359,0.11,54.8,4.733170874,5.001749129
ML_F1_5_f,P. melanophrys,ML,M,ML-5,4/1/15,highland,4500,1,ML_4500-1,5/9/16,,1500,43.1,15.7,0.52997827,0.1741,0.1218,0.0242,0.2882,0.02411,43.5,4.591793713,4.242989615
ML_F1_8_c,P. melanophrys,ML,M,ML-8,4/15/15,highland,1000,1,ML_1000-1,5/5/16,,1500,53.3,9.3,0.483024438,0.2522,0.1431,0.0256,0.3736,0.0544,49,3.67116651,3.833739218
ML_F1_8_e,P. melanophrys,ML,M,ML-8,4/15/15,highland,4500,1,ML_4500-1,5/9/16,,1500,49.2,15.2,0.517288789,0.2276,0.1286,0.035,0.2635,0.1675,45.6,4.922847133,3.620909602
ML_F1_9_b,P. melanophrys,ML,F,ML-9,3/23/15,highland,4500,2,ML_4500-2,5/11/16,,1500,46.5,13.8,0.538991856,0.1864,0.117,0.0279,0.2551,0.1395,47.2,4.247431849,4.588581224
ML_F1_9_c,P. melanophrys,ML,M,ML-9,3/23/15,highland,4500,1,ML_4500-1,5/9/16,,1500,50,15.1,0.519349249,0.1905,0.124,0.0328,0.2657,0.2308,46.1,4.525965246,4.045195705
ML_F1_9_e,P. melanophrys,ML,M,ML-9,5/24/15,highland,3000,1,ML_3000-1,5/7/16,,1500,50.9,11.5,0.456608614,0.2654,0.1556,0.0256,0.2767,0.2972,50.4,4.668451908,6.005083892
ML_F1_9_f,P. melanophrys,ML,F,ML-9,6/24/15,highland,1000,2,ML_1000-2,5/6/16,,1500,45.8,7.9,0.414404655,0.1988,0.1319,0.0265,0.3087,0.2359,51.9,3.800628916,4.828105099
ML_F1_9_h,P. melanophrys,ML,M,ML-9,6/24/15,highland,1000,1,ML_1000-1,5/5/16,,1500,54.4,8,0.468377088,0.1971,0.1361,0.0272,0.2611,0.1575,45.1,3.775993333,4.067271988
PO_006,P. polionotus,PO,F,D-1290,3/11/16,lowland,1000,3,PO_1000-3,,,0,16.7,13.1,0.45589747,0.1028,NA,NA,0.0863,NA,17.1,2.410656967,2.157308444
PO_027,P. polionotus,PO,M,D-1290,4/9/16,lowland,3000,3,PO_3000-3,,,0,18.1,14.6,0.521636872,0.098,NA,NA,0.1127,NA,18.5,1.993964825,2.668716706
PO_034,P. polionotus,PO,F,D-1301,4/19/16,lowland,4500,3,PO_4500-3,,,0,12.7,17.2,0.586713248,0.0776,NA,NA,0.0901,NA,14.2,2.164168894,2.341877571
PO_043,P. polionotus,PO,F,D-1282,5/6/16,lowland,4500,3,PO_4500-3,,,0,14.8,20,0.636933876,0.0767,NA,NA,0.1488,NA,16.9,2.244412705,2.331076461
PO_045,P. polionotus,PO,F,D-1282,5/6/16,lowland,1000,3,PO_1000-3,,,0,14.1,15.4,0.49675482,0.0806,NA,NA,NA,NA,13.7,2.208331253,2.325393556
PO_047,P. polionotus,PO,F,D-1290,5/3/16,lowland,4500,3,PO_4500-3,,,0,16.7,NA,0.531912293,0.0973,NA,NA,0.1024,NA,19,2.442999273,2.912298193
PO_051,P. polionotus,PO,F,D-1290,5/30/16,lowland,1000,3,PO_1000-3,,,0,15.7,11.9,0.443668183,0.0908,NA,NA,0.0774,NA,17.1,2.326929787,2.631147573
PO_060,P. polionotus,PO,M,D-1320,6/8/16,lowland,3000,3,PO_3000-3,,,0,15.8,15.9,0.528334786,0.1045,NA,NA,0.0873,NA,16.5,2.391731607,2.532914268
PO_064,P. polionotus,PO,M,D-1299,6/14/16,lowland,3000,3,PO_3000-3,,,0,14,15.7,0.476882408,0.0779,NA,NA,0.0787,NA,15.1,2.158185415,2.257350495
PO_13,P. polionotus,PO,M,D-1299,11/3/15,lowland,3000,1,PO_3000-1,7/4/16,,0,14,13.2,0.4753388,0.076,0.0472,0.0123,0.1234,0.0837,13.2,1.957771754,1.891977623
PO_14,P. polionotus,PO,M,D-1299,11/3/15,lowland,1000,1,PO_1000-1,7/2/16,,0,17.6,13.1,0.487305803,0.0998,0.0648,0.0164,0.0959,NA,17.3,1.954279725,2.272838842
PO_15,P. polionotus,PO,F,D-1299,11/3/15,lowland,1000,2,PO_1000-2,7/3/16,,0,15.3,10.2,NA,0.0892,0.0601,0.0193,NA,0.0225,15.7,1.995752085,2.358155188
PO_16,P. polionotus,PO,F,D-1299,11/3/15,lowland,4500,2,PO_4500-2,7/7/16,,0,14.6,18.2,0.582090901,0.0803,0.083,0.0162,0.1131,0.1737,15.7,2.230140447,2.14815279
PO_19,P. polionotus,PO,F,D-1298,11/6/15,lowland,1000,2,PO_1000-2,7/3/16,,0,15.8,13.4,0.455812818,0.097,0.0693,0.0161,0.1269,NA,15.2,2.048580033,2.388049956
PO_20,P. polionotus,PO,F,D-1298,11/6/15,lowland,3000,2,PO_3000-2,7/5/16,,0,16.8,15,0.518452132,0.1007,0.0711,0.0192,0.0967,0.2317,16.8,1.859295111,1.961261965
PO_25,P. polionotus,PO,M,D-1296,11/23/15,lowland,4500,1,PO_4500-1,7/6/16,exome capture,0,14.4,15.7,0.628180638,0.0847,0.0487,0.0161,0.1024,0.1249,12.8,2.080104995,1.733308748
PO_26,P. polionotus,PO,M,D-1296,11/23/15,lowland,3000,1,PO_3000-1,7/4/16,,0,15,16.4,0.512709542,0.0885,0.0538,0.0137,0.1112,0.0593,14.8,2.198596206,2.011526447
PO_27,P. polionotus,PO,M,D-1303,11/22/15,lowland,4500,1,PO_4500-1,7/6/16,,0,19.2,18.3,0.62258464,0.1039,0.0648,0.0183,0.1117,NA,15.5,1.948022806,2.272481154
PO_34,P. polionotus,PO,F,D-1298,12/5/15,lowland,3000,2,PO_3000-2,7/5/16,,0,20,12.6,0.481535996,0.1189,0.0741,0.0207,0.0903,NA,18.3,1.971280334,1.929638238
PO_39,P. polionotus,PO,F,D-1304,11/30/15,lowland,4500,2,PO_4500-2,7/7/16,exome capture,0,13.8,16.3,0.547832697,0.0746,0.0473,0.0169,0.0988,0.0933,13.3,2.153580362,1.758818365
PO_41,P. polionotus,PO,M,D-1304,11/30/15,lowland,4500,1,PO_4500-1,7/6/16,,0,15.4,17.3,0.61542072,0.0852,0.0514,0.0193,0.0925,0.1877,13.9,2.04465455,2.195101948
PO_43,P. polionotus,PO,F,D-1282,12/15/15,lowland,3000,2,PO_3000-2,7/5/16,,0,12.5,15.9,0.510039413,0.0755,0.0485,0.013,0.0786,0.0893,13,1.608789416,1.818264399
PO_46,P. polionotus,PO,F,D-1290,12/20/15,lowland,4500,2,PO_4500-2,7/7/16,,0,15.1,17.3,0.582090901,0.0927,0.0599,0.0144,0.1028,0.1126,16.7,2.351327838,2.059658759
PO_47,P. polionotus,PO,F,D-1290,12/20/15,lowland,1000,2,PO_1000-2,7/3/16,,0,16.7,14.3,0.472067039,0.0995,0.0621,0.0166,0.0866,NA,18.6,1.901876992,1.900975731
PO_48,P. polionotus,PO,M,D-1290,12/20/15,lowland,1000,1,PO_1000-1,7/2/16,,0,15.6,12.2,0.450676578,0.0879,0.056,0.0162,0.1037,0.0657,15.4,1.787876651,2.031620606
PO_51,P. polionotus,PO,M,D-1290,12/20/15,lowland,3000,1,PO_3000-1,7/4/16,,0,14.1,16.2,0.52264078,0.0788,0.047,0.0178,0.1038,0.0517,15.9,2.0437886,2.006300432
PO_54,P. polionotus,PO,M,D-1301,12/20/15,lowland,1000,1,PO_1000-1,7/2/16,,0,13.3,15.4,0.489784093,0.064,0.0426,0.0116,0.0682,0.0672,11.7,1.87489743,1.810063974
