,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Eif4h,7.456511082,7.24245056,7.332715861,7.08738577,6.947286266,7.496101159,7.103945306,6.908925398,7.133371364,7.406843112,7.504345128,7.501224868,7.475642876,6.973949555,7.50724807,7.462661124,7.38563206,7.40269986,7.319856779,7.329502109,7.164179761,7.167986694,7.009218652,7.21975454
Eif5a,8.898182946,9.201969648,8.92793753,8.884191675,8.880047719,8.528119122,8.708221145,8.68207793,8.835892608,8.494916172,7.19498005,8.763760534,8.588222192,8.376221789,8.417965192,8.183412296,8.348229617,7.532260685,8.158298434,7.988059611,8.106151632,7.947094997,8.378647682,7.968761755
Eif5b,8.435480407,8.36107848,8.577906088,8.730689641,8.232491762,8.576254775,9.198394127,8.771534041,8.925660474,8.747012545,8.46822059,8.48290552,8.530448182,8.786833425,8.597196496,8.812881641,8.726143689,9.159331771,8.048861276,8.016911841,7.811737711,8.076650944,8.154228808,8.059995392
Eif6,5.024131995,4.564492538,4.460069208,4.871287204,5.256031374,4.979805084,3.882409289,4.447470028,3.958841857,4.866599258,5.139887991,4.580069172,5.322166451,4.90835691,5.865246706,5.102608715,5.015797717,3.994868949,4.983983051,4.702259267,4.891045601,5.03124382,5.093640784,5.065865839
Elac1,3.831444306,3.852191142,4.100491564,3.993511853,3.747441627,4.452816549,3.882409289,3.641285815,3.755241616,3.156674147,4.295222925,3.857323664,3.578024412,4.634513394,4.015633207,4.278557808,3.781300727,4.350145515,4.204615229,4.334248956,4.235609909,3.911518911,3.572884791,4.326029573
Elavl1,5.886643386,6.254505399,6.038025128,5.905732762,5.746951481,5.744851172,5.242276092,5.320127258,5.350226465,5.551448111,5.542935482,5.296344368,5.659087595,5.881584008,6.176568963,5.896970032,5.956915268,6.02044305,5.04297525,5.585341241,5.731879612,5.463448856,5.278060465,5.122614808
Elf1,5.352609685,5.202936167,5.192834938,4.997148293,5.134061113,5.503005873,4.749937417,4.909775724,4.345223994,5.342262438,5.926627191,5.059358506,5.786806479,4.718198281,5.209731547,5.480191275,4.526750171,7.5173139,4.922475423,4.618678735,4.488627598,3.808366941,4.541118774,4.507446727
Elf2,5.570335372,5.525229023,5.532543039,5.905732762,6.236289313,5.781492124,5.745756737,5.731640268,5.275963028,5.49181426,5.475448116,5.296344368,5.363730031,5.197935486,5.376290653,5.729218775,4.930360809,5.348595566,5.444086196,5.827933799,5.958236032,5.357818219,5.968091382,5.850074003
Elk1,4.693974871,4.787290528,4.562439459,5.457570079,4.601298779,5.041531545,4.933359729,5.059906257,4.438959657,4.251396128,4.578610645,5.059358506,4.632569424,3.994421857,4.708068048,4.278557808,4.272792533,4.808731913,4.983983051,4.781261694,4.367658392,4.88681567,4.777177112,4.590260786
Elk4,2.088041849,1.698783166,2.179480702,2.393911232,1.749400546,1.712553691,4.102623853,4.334139738,4.609927818,5.429608761,4.815367332,4.609684367,4.991917395,4.349679511,4.708068048,4.891739941,4.4673277,4.157942973,5.353772878,4.618678735,4.600233637,4.984689323,4.541118774,5.329617021
Ell,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,4.933359729,5.397388488,5.729890046,5.627309096,3.276495212,5.296344368,4.937903776,6.146163656,5.553687807,5.568064013,4.973711621,3.522478242,5.444086196,6.159017828,5.826724606,5.357818219,5.458628493,4.668578083
Ell2,3.65211058,3.197453656,3.95751696,3.210693407,3.134810635,3.441500141,4.201287462,3.979516106,4.244972264,3.668541594,5.49829648,3.755021493,4.41258887,6.493583243,4.492798065,4.207366795,5.209572408,5.156172011,4.485468926,4.618678735,2.632031823,3.911518911,4.093681527,4.507446727
Elmo2,3.65211058,3.978109646,4.166994176,3.49301058,3.001640788,4.205615106,4.539751014,4.961574651,4.526974853,4.866599258,4.815367332,4.667151082,4.937903776,4.718198281,4.549701013,4.132479623,5.172843846,4.437426095,4.397788606,5.181502053,4.891045601,5.03124382,5.026528528,4.945197493
Elmod2,3.831444306,4.564492538,4.349876404,4.316895624,4.506166196,4.358955472,4.397170604,4.076672438,4.526974853,4.152161782,3.473845058,4.126792675,4.331118661,3.697269657,3.932490782,3.576782079,4.087882347,4.350145515,3.717496546,4.107762856,4.235609909,4.007785157,4.003488975,4.742861911
Eloa,7.21936231,6.78911418,6.567458882,6.984753189,6.577821675,6.937766168,6.361682372,6.601289346,6.186994732,6.272057805,6.843027204,6.683611507,6.169217391,5.572255088,5.590222798,5.50028558,6.094257657,6.347819967,7.015588891,6.035545508,6.293234702,6.569901934,6.580601916,6.46907358
Elob,8.360769847,8.104519181,8.335618455,8.087812164,8.651849681,8.063034975,9.030754732,9.051498023,9.004430515,8.931032023,9.092526494,9.019582702,9.214984853,9.197327931,9.183331762,9.166668967,9.20109179,8.307245381,8.461956202,8.379452965,8.294899846,8.299842144,8.531009113,8.406019842
Eloc,7.81739417,7.814958318,7.584604948,7.386663682,8.020796724,7.326694105,7.299475899,7.344089848,7.127470562,6.903194254,6.539596749,7.002952334,7.049609885,6.965412312,6.756361992,7.03936955,6.654177145,6.521059489,7.265160843,7.216777951,7.182228773,7.09315912,7.504540802,7.356163163
Elof1,5.197699331,5.095880646,5.22440664,4.871287204,5.616382852,5.185196424,3.94069351,4.028911975,3.429537117,3.594873569,3.473845058,4.353763736,4.438495021,4.182958257,4.765407272,4.876675707,5.05991272,3.161478389,4.922475423,4.927364131,4.600233637,4.984689323,4.541118774,5.593248468
Elovl1,4.693974871,3.714222334,4.230565883,4.216944192,4.404314839,4.540942305,3.622418372,4.167696694,4.526974853,4.866599258,3.942216125,4.72241615,4.15292432,3.853482834,4.094244105,3.969926702,4.583821633,4.872764222,3.394086447,3.838977715,3.928577685,4.007785157,4.258731964,4.507446727
Elovl5,5.759470465,5.095880646,4.987354346,5.056187249,5.421592538,5.36495791,4.576978038,4.334139738,5.086192952,5.627309096,5.251686577,5.384646434,5.300926825,5.438993401,5.209731547,5.370413959,5.314460419,6.155285714,5.04297525,4.702259267,5.274281034,4.182956258,4.830614526,4.880854549
Elp1,7.101944069,7.178300054,7.062708399,7.169895313,6.623866157,6.96987163,5.534913545,4.856047509,5.653733701,5.296522642,6.384633245,5.101659137,5.625309534,5.602080963,5.711640883,5.510080841,6.120146923,6.02044305,6.220615494,6.654837918,6.293234702,6.569901934,5.707444028,6.038824924
Elp2,4.783862892,3.852191142,4.747668312,3.867318814,4.774589452,4.776997312,3.305043505,3.641285815,2.410505381,3.156674147,4.578610645,4.126792675,3.42935998,4.718198281,4.371781404,4.132479623,4.047876135,4.257242644,4.097374823,4.702259267,4.976269969,4.608429072,4.663970644,4.507446727
Elp3,6.306186877,6.576609482,6.297508583,6.38020557,6.029476273,6.104317504,3.882409289,4.681701026,4.68836933,4.152161782,5.080562532,4.353763736,5.724359913,5.687613118,5.898486477,5.827450595,5.589906926,4.597583751,5.721933444,5.585341241,5.340069437,5.120074776,5.707444028,4.945197493
Elp4,3.831444306,5.150401189,5.059149225,4.659157236,4.506166196,3.613947582,4.87477236,4.334139738,4.438959657,3.930522402,4.578610645,4.667151082,4.699025137,4.349679511,4.850757634,4.748636477,4.930360809,4.597583751,5.25742611,4.927364131,4.891045601,5.282840711,4.882143112,4.326029573
Elp5,4.039915004,4.642644483,3.620435528,3.972822872,3.801331013,3.666612607,5.287894293,5.25933879,5.325894276,4.89756755,6.296130316,5.221592487,5.932031498,5.76835694,4.307240435,5.677475209,5.722889797,4.437426095,6.731664969,6.726459567,6.494436159,6.81577292,6.962106415,6.205713852
Emc1,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,3.882409289,3.979516106,4.762764897,4.251396128,5.304496398,5.259452523,4.56290408,4.943555875,4.804744872,5.449669337,4.638721061,4.597583751,3.981518109,4.529956688,3.746479132,4.007785157,4.258731964,3.737470682
Emc10,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,2.556891573,1.371671746,1.946246152,5.251686577,1.83989652,3.263597469,5.728549833,3.84426226,2.859954861,5.890605348,1.371671746,1.966639354,1.371671746,2.135319246,1.858409626,2.956275781,2.726627405
Emc2,6.724594658,6.73662426,7.097224766,6.700100188,6.711767986,6.728505444,6.791955752,6.121434916,6.173421823,6.449724367,6.568601338,6.75160635,6.736862394,6.369658809,6.346781196,6.483671692,6.687107181,6.932523842,6.181767741,6.326422813,6.326074557,6.538015078,5.894719355,5.671408055
Emc3,6.854743048,6.625542546,6.991094886,6.604446118,6.577821675,6.242147174,6.710543734,6.770570457,6.554680156,6.385635815,6.309110877,6.229087934,6.858152161,6.540318497,6.469825492,6.453224079,6.763201587,5.705807115,6.740602621,7.086738815,6.769778524,6.788929327,6.783928165,6.764830623
Emc4,5.292626459,5.545713673,5.630063417,5.245649144,5.447428909,5.388902845,5.986120578,6.144028738,5.4881839,6.041940132,5.251686577,4.970844111,5.279369826,5.011477698,4.938601647,5.160294608,4.791897767,2.940262517,6.128287966,6.159017828,6.116789215,5.561870312,5.817414916,6.257312648
Emc7,8.214884103,8.097598593,8.15079842,7.772834839,8.595192945,7.986633922,8.465162484,8.272299232,8.494880405,7.848423676,7.817620306,7.957906938,7.43722328,7.669506597,7.410714152,7.628530477,7.628759536,7.52729561,8.135913852,8.1040069,8.075867113,8.226714987,8.012107314,8.119273851
Emc9,6.145918871,6.279182368,5.927274733,6.086532604,6.265630931,5.546234686,6.898726135,6.755976254,7.469539969,6.832838492,6.283031901,6.641221215,6.274737186,6.176068584,6.314307498,5.941522344,6.383881963,6.205881216,6.775809612,6.922180849,6.420333874,6.661540104,6.937960515,6.710331878
Emcn,5.230040702,5.395809232,4.658024557,4.580899665,5.827862563,6.075097931,3.758262607,4.552542462,4.96537717,4.152161782,3.80233416,5.182712068,4.56290408,4.451002368,5.278679309,4.845598174,5.172843846,4.992885909,4.568124372,4.225445805,4.600233637,4.545671673,4.475533212,3.584266797
Emd,4.495423045,3.852191142,4.658024557,4.803984284,4.601298779,3.767965456,4.87477236,4.909775724,4.526974853,4.665378488,5.196869963,5.015780036,4.881788998,5.917434154,4.657186434,5.320682925,5.135155756,5.840000589,4.646299803,4.856161606,4.235609909,4.007785157,4.258731964,4.225980678
Emg1,5.230040702,4.716779541,5.127540008,5.167476778,5.256031374,5.041531545,5.096070484,5.23849314,5.573332112,5.097516697,5.49829648,5.142754739,5.44342868,5.363029738,5.78457271,5.729218775,5.821100206,5.049393112,5.685369704,5.827933799,5.682011551,5.497007605,5.707444028,6.0680151
Eml1,6.504300853,6.754333945,6.639489977,6.736653952,6.012268595,6.505724995,6.569901191,6.332872286,5.999729863,6.449724367,6.024316018,5.933667611,6.317669428,6.146163656,5.9416474,5.91941816,5.913049005,5.705807115,6.207782122,6.188302641,5.958236032,5.593239891,6.126041437,5.177215762
Eml5,5.230040702,5.565911531,5.372664761,6.06369552,5.36848888,5.852095142,4.749937417,4.909775724,4.244972264,4.986673129,5.404648189,4.353763736,5.142791048,5.076345039,4.708068048,4.589759361,5.280338078,4.741725074,4.304432686,4.781261694,4.367658392,4.726303758,4.33467709,4.742861911
Eml6,3.208473046,3.197453656,2.895924567,3.210693407,1.371671746,3.613947582,2.327596553,2.803904573,1.982639131,2.35606142,2.440584855,1.83989652,1.371671746,2.025417698,1.371671746,1.371671746,1.371671746,1.948471605,1.966639354,2.018997946,3.000833825,1.371671746,3.297274961,1.975076158
Emp1,6.791135974,6.920411538,6.236880728,6.624091033,7.068781527,6.631482239,5.608671827,5.977895277,6.376608815,7.374187767,6.843027204,7.570632621,6.736862394,6.369658809,6.527623725,7.049581971,6.881733553,6.392190577,5.892022513,5.540625066,6.450433048,5.623941869,6.229133556,6.152200925
Emp2,3.744562153,4.09391477,2.729869691,4.216944192,3.904915307,3.018868753,3.115641957,2.556891573,3.234188542,3.517240473,3.80233416,4.353763736,4.41258887,3.994421857,4.371781404,4.207366795,4.126809047,2.940262517,3.981518109,3.838977715,3.746479132,3.576893918,4.093681527,2.399246957
Emp3,4.783862892,4.787290528,4.987354346,4.871287204,4.854006744,4.540942305,3.305043505,4.552542462,4.020788144,4.866599258,4.578610645,5.015780036,4.632569424,4.545673745,5.173981302,4.589759361,4.839544029,5.705807115,3.717496546,4.225445805,4.090246198,4.26316196,4.33467709,4.742861911
Emsy,4.783862892,4.716779541,4.349876404,4.935589833,4.404314839,4.150652656,4.380422216,4.253317193,4.244972264,4.665378488,4.815367332,4.487391368,4.632569424,4.797293935,4.549701013,4.532658976,4.340594321,4.519726227,4.304432686,4.702259267,4.800468942,4.182956258,3.572884791,4.880854549
En1,4.384860862,4.787290528,4.611023481,3.7290203,4.35055932,4.540942305,4.539751014,4.552542462,4.244972264,4.802594113,4.740683721,3.39572513,5.043981545,4.797293935,4.604444493,4.979819072,4.691607738,3.161478389,4.097374823,4.435418855,4.090246198,4.781815806,4.830614526,4.225980678
Enah,5.691417122,5.675189696,5.344206996,5.583320906,6.971171422,5.852095142,5.958175695,7.232554823,7.024185711,7.555026807,7.862338723,9.227280286,7.934523904,8.121529058,8.173989162,8.652952659,7.899927448,7.154842362,7.6105359,8.041191222,7.788361058,7.635467973,6.783928165,7.909521613
Eno1,7.030291673,6.888690353,6.615876966,6.874256349,6.404003983,6.473167111,6.41405222,5.320127258,5.443647949,6.248228392,4.490191965,6.109802494,6.655528328,5.438993401,6.462435142,6.75728941,6.301213769,6.75701922,6.722671602,6.746286387,6.895442448,6.12024556,6.735719501,6.69169833
Eno3,12.55824673,12.45267458,12.43764158,12.29537326,12.41212559,12.37763592,12.38873712,12.30389534,12.43909745,12.45631363,12.330448,12.27592786,12.1326661,12.15656037,12.21611046,11.96684628,12.00756957,11.98640023,12.07344648,12.03843514,12.05122189,11.79726475,11.93318595,11.85724131
Enox2,4.384860862,5.253625137,5.315176576,4.580899665,4.176116894,3.767965456,4.293633377,4.167696694,3.601561341,3.930522402,4.395998511,3.094328759,4.991917395,4.240699416,3.297763508,3.786704995,4.691607738,3.93614039,4.097374823,3.979620845,4.891045601,4.608429072,4.693115892,4.668578083
Enpp2,3.990930447,4.918746617,4.950071067,4.498152386,5.196334832,3.907115347,4.462284998,4.483351203,4.68836933,5.149900295,3.647418746,4.549833282,5.142791048,5.310070062,4.895348127,4.797931756,4.930360809,5.049393112,4.858228257,5.346460756,5.205348672,4.835270768,5.15776935,5.422950345
Enpp4,5.845485533,5.855675997,6.26751311,5.771242905,5.787974168,6.268200616,5.958175695,6.231023599,6.636098992,5.734108179,6.309110877,6.391342717,6.901129801,7.279632578,6.583195323,6.94405106,6.980675829,6.02044305,6.233335714,6.002952602,6.326074557,5.996655602,6.343843797,6.096626362
Entpd2,5.292626459,5.349954065,5.192834938,5.220059458,4.854006744,5.412456836,2.640545692,3.508283507,3.00818356,3.348192456,3.647418746,4.042440962,5.481685546,4.872277635,4.757216113,4.278557808,4.340594321,3.673931352,4.304432686,3.979620845,3.538029874,4.098027721,4.72168399,5.0067929
Entpd5,4.598111994,4.481863345,4.460069208,4.364389061,4.404314839,4.623993467,6.26234182,5.670699928,5.4881839,5.305787349,6.26182389,5.142754739,5.371900963,5.13842084,5.376290653,5.455825601,4.973711621,5.255589543,6.488076113,5.976337519,5.780081376,6.437894408,6.188776344,6.490792926
Entr1,6.875337115,7.02624542,6.685587256,6.643472037,7.149697957,6.765558583,5.043846313,4.961574651,4.438959657,4.251396128,4.395998511,4.549833282,4.41258887,4.797293935,4.492798065,4.411195515,4.201646476,4.741725074,3.981518109,4.334248956,4.891045601,4.726303758,4.72168399,4.326029573
Eny2,5.965595698,6.092135132,6.049704404,6.128401546,6.57008107,6.261731231,6.022467891,6.584867816,6.035281353,5.906303758,6.0859504,6.095848855,5.87568332,5.893513316,5.80036917,5.803512544,5.898050421,6.262670837,6.096057848,6.123982494,6.320544257,5.895345938,5.882119523,6.029061089
Ep300,6.769294777,6.754333945,6.465457051,6.890569271,6.377370787,6.819412843,6.743661845,6.4998336,6.684746988,6.530974097,6.502331729,5.979757987,6.655528328,6.672073896,6.499014033,6.429959113,6.499628564,7.341786969,6.860242213,6.612256077,6.781665711,6.81577292,6.071594419,6.65369331
Ep400,5.465575921,5.788506552,6.236880728,6.086532604,5.570095033,6.268200616,5.146470047,4.483351203,4.762764897,5.123946236,5.586234643,4.695048229,5.279369826,5.557334942,5.021402542,5.539363707,4.4673277,6.517658765,4.983983051,5.181502053,5.463277246,5.593239891,5.239067316,5.816067196
Epb41,4.495423045,4.39421257,4.562439459,5.220059458,4.790826504,5.212289111,5.332114144,4.909775724,4.96537717,3.805470524,4.954049872,4.970844111,4.331118661,4.943555875,4.307240435,4.278557808,3.875739026,5.840000589,4.720455994,6.217004818,5.274281034,5.357818219,5.026528528,5.467446234
Epc1,4.783862892,5.950907285,5.888384489,5.840054431,5.787974168,6.46124598,5.608671827,5.790110439,5.729890046,5.833543207,5.586234643,5.785842865,5.322166451,5.557334942,5.46771416,5.510080841,5.412236884,6.075901429,5.826373125,5.711730587,5.576785861,5.795580263,5.619089835,5.708955251
Epdr1,7.695298878,7.644996021,7.632460383,7.459548378,6.947286266,7.710794572,9.089899546,9.463278965,9.106162943,8.58366378,8.802453965,9.040120287,7.71122665,7.237708873,7.666875605,7.717687757,7.164953287,7.418875622,8.591103753,8.561133106,8.448202008,8.378471984,8.539057621,8.27758977
Epg5,5.024131995,4.918746617,4.460069208,4.580899665,3.369126015,4.979805084,4.102623853,3.763054927,4.244972264,3.805470524,4.815367332,4.422124133,4.699025137,4.872277635,4.492798065,4.278557808,3.964373405,4.350145515,3.855538603,5.122040199,4.600233637,4.26316196,4.093681527,3.737470682
Ephx2,2.564551229,1.371671746,2.542185283,2.720246379,3.369126015,3.245605433,2.89756293,2.803904573,3.755241616,3.156674147,5.304496398,4.667151082,4.881788998,4.122809418,4.938601647,4.697597062,5.561773476,4.519726227,4.922475423,4.435418855,4.976269969,5.529803451,4.603851987,4.002304404
Epm2a,7.350179377,7.635471024,7.477314304,7.816177962,7.752021441,7.453592168,6.494080156,5.913598942,6.40010733,6.490921135,5.839841666,5.401676334,5.590721621,5.986567715,5.760669425,5.215762348,5.314460419,6.062235413,5.232299381,5.540625066,5.492502569,5.282840711,5.735732555,5.255427848
Epm2aip1,5.410198209,5.981303561,6.173592853,6.028747438,5.068977619,6.161039026,5.712687236,5.54050674,5.197668398,5.699379581,5.857621447,5.499838461,5.724359913,6.540318497,6.004060231,5.984739936,5.890605348,5.740543708,6.233335714,6.499955309,5.915717118,6.109437521,6.268392488,6.205713852
Epn1,6.244199391,5.822482151,5.507096969,5.823156791,5.165533951,5.919403574,5.986120578,5.900388524,5.904355553,6.122793604,5.251686577,5.979757987,5.009307118,4.9894151,5.1373226,5.191249922,5.494012539,5.531500185,5.444086196,5.122040199,5.205348672,5.740605498,5.790698038,5.632857495
Epn2,5.164616294,4.716779541,5.059149225,5.840054431,5.134061113,5.628990298,4.152798924,4.986792981,3.601561341,4.866599258,4.395998511,4.549833282,4.991917395,4.718198281,4.757216113,4.697597062,5.280338078,4.350145515,4.858228257,4.334248956,4.235609909,4.608429072,4.663970644,5.0067929
Eprs1,8.956511954,9.022983831,8.943055468,9.330018012,8.603834602,8.803342445,9.375227765,9.221803153,9.402216331,9.232197656,9.098146344,8.900333272,9.300941872,9.175287292,9.705622895,9.479174241,9.45544323,8.932135816,9.215131346,9.050128006,9.167357564,9.220470302,9.210340152,9.164146103
Eps15,3.447277702,3.714222334,3.416868354,3.867318814,3.747441627,4.452816549,3.94069351,4.518361592,4.649681632,5.602337385,4.740683721,4.422124133,6.11353653,5.511156552,5.853994388,5.354026687,6.081037586,6.413874419,6.667501296,6.245147091,5.780081376,6.538015078,6.67127139,6.61465997
Eps8,3.831444306,4.300890143,4.832066298,3.993511853,4.690544425,4.034016768,5.146470047,5.011578056,4.96537717,5.589877169,4.578610645,6.150670028,5.142791048,4.797293935,4.657186434,5.354026687,4.791897767,6.435237172,4.35186564,4.107762856,4.752954818,3.960454826,4.003488975,3.110153747
Epsti1,2.564551229,1.371671746,3.798798692,2.720246379,2.854916793,3.018868753,2.774770235,2.685678212,3.125607127,3.156674147,4.443863837,2.599364477,3.263597469,1.371671746,3.297763508,4.132479623,3.185662771,4.519726227,4.790986096,4.856161606,4.800468942,5.623941869,4.663970644,5.122614808
Erap1,4.598111994,5.150401189,5.427949684,5.220059458,5.068977619,5.588205787,5.043846313,4.681701026,4.68836933,4.735617019,5.66911918,4.72241615,4.632569424,5.46345105,5.437878777,5.418487688,5.056690803,5.049393112,4.485468926,3.508380306,4.367658392,4.098027721,4.541118774,4.118473069
Erbin,6.70171427,6.15134672,6.2055838,6.114579804,6.577821675,6.46124598,6.192098817,6.332872286,6.750210723,6.607890939,7.723797191,6.521685167,6.865404601,6.868008907,7.045633669,7.58706476,6.926547597,6.823335458,6.793096071,6.545929816,6.564917498,7.048590838,6.483849692,7.025111996
Erc1,4.384860862,5.202936167,4.79048438,5.056187249,4.601298779,5.100725013,5.678841896,5.639236451,5.692314328,5.249285077,6.0859504,5.259452523,5.363730031,5.844820255,5.437878777,5.141321111,5.347794317,5.962767284,4.646299803,4.618678735,4.600233637,4.835270768,5.198990914,5.593248468
Ercc1,5.164616294,4.854515314,5.059149225,4.733387332,4.774589452,4.258560266,5.195168206,5.434520934,4.8335115,5.663794331,5.586234643,4.876542017,5.986261331,6.234080665,6.102432304,6.307650193,5.97835816,4.872764222,5.792393089,4.9952172,5.463277246,5.203751949,5.026528528,4.419587897
Ercc3,4.693974871,3.978109646,3.179783313,3.311064085,3.473403418,4.034016768,4.539751014,4.076672438,4.68836933,3.930522402,4.578610645,4.549833282,4.244770951,3.697269657,3.158357106,4.05349137,4.885666909,5.103770221,4.397788606,4.9952172,4.488627598,4.480059673,4.258731964,3.875955929
Ercc5,4.384860862,4.918746617,4.562439459,4.659157236,4.854006744,4.847815321,4.989660443,4.681701026,5.027049378,5.097516697,6.173729549,4.282002341,4.823402951,5.255091968,4.757216113,4.644685551,4.405352173,5.807604182,5.399636128,5.864677402,5.999537626,5.561870312,5.115335247,5.708955251
Ercc6l2,6.394443434,5.950907285,6.10740079,5.93748368,6.6010276,5.886141854,5.572263999,5.397388488,5.301144654,5.471375667,5.196869963,4.970844111,4.823402951,4.240699416,4.757216113,5.215762348,4.742624044,5.435967182,4.720455994,5.397506087,4.976269969,4.835270768,4.777177112,4.326029573
Ercc8,3.990930447,4.980239708,4.349876404,4.498152386,5.421592538,5.041531545,5.809705031,5.434520934,5.250334047,4.735617019,4.88637436,5.259452523,4.991917395,5.197935486,5.061086514,5.215762348,4.930360809,5.255589543,5.154181675,5.585341241,5.463277246,5.393894627,5.707444028,5.280583863
Erg,4.495423045,4.09391477,4.230565883,4.659157236,3.747441627,5.100725013,4.201287462,4.253317193,4.244972264,4.34424182,3.276495212,4.282002341,4.56290408,2.473655,4.168792015,4.132479623,3.829292475,4.479162944,4.720455994,3.508380306,4.891045601,4.835270768,4.178565768,4.590260786
Ergic1,3.447277702,2.555949141,2.072518937,3.210693407,3.473403418,2.890566517,5.043846313,4.961574651,4.762764897,4.986673129,5.355441186,5.259452523,5.142791048,4.634513394,4.757216113,5.102608715,5.280338078,5.103770221,4.983983051,4.618678735,4.703822401,4.182956258,4.603851987,5.122614808
Ergic2,6.925571731,7.040750144,7.045135519,7.228821222,7.017959612,6.871328915,6.853931354,6.703701586,6.906055113,6.569945057,6.731741308,6.582690873,6.688614197,6.607699759,6.985031463,6.987194088,7.027713478,6.477036485,6.610137036,6.832282108,6.696322037,6.676262801,6.714555084,6.69169833
Ergic3,5.230040702,5.643988688,5.427949684,5.5426098,6.012268595,5.041531545,5.416684325,5.151961278,5.573332112,4.927885035,5.355441186,5.401676334,5.44342868,5.255091968,5.1373226,5.215762348,5.644579599,5.740543708,5.206727264,5.540625066,5.402988203,5.529803451,5.649146485,5.552521207
Erh,6.954893782,7.300618911,6.96460528,7.228821222,7.562528138,7.081783517,6.00071478,5.752375461,5.838112062,5.689857736,5.67113149,5.765463337,2.635210882,3.078458181,2.945856488,3.266647322,2.789285821,2.916154498,6.086835586,6.36540573,6.216492245,6.035313683,6.198971977,6.185878382
Eri3,5.024131995,5.349954065,4.460069208,4.580899665,5.196334832,4.776997312,4.380422216,3.979516106,4.900950414,4.431471934,3.942216125,4.487391368,4.699025137,5.011477698,4.850757634,4.532658976,5.135155756,3.522478242,3.394086447,4.334248956,4.488627598,4.33914254,4.72168399,4.668578083
Erlec1,5.859197846,5.497315487,5.779098628,5.398110069,6.341169229,5.36495791,6.285016167,6.390699749,6.089188201,6.490921135,6.432870875,6.626809737,6.038526338,6.445283195,6.194522788,6.201741697,6.249239141,5.902689403,5.826373125,5.563156393,6.039689667,5.948952607,5.931871759,5.97861067
Erlin2,5.09608345,4.918746617,4.562439459,4.659157236,5.068977619,5.628990298,4.102623853,4.167696694,3.89411593,4.591544559,4.395998511,3.95284941,4.823402951,4.349679511,3.932490782,3.969926702,4.126809047,4.872764222,4.922475423,4.435418855,4.891045601,4.098027721,4.003488975,5.0067929
Ern1,4.495423045,4.854515314,4.658024557,4.733387332,3.747441627,3.907115347,4.102623853,4.076672438,3.755241616,4.665378488,3.647418746,2.916172338,3.836036295,3.697269657,2.634779258,3.331025876,4.526750171,4.597583751,4.304432686,3.979620845,4.235609909,4.26316196,4.093681527,4.002304404
Ero1a,3.447277702,4.300890143,4.100491564,4.316895624,4.046879388,3.767965456,4.539751014,4.076672438,4.438959657,4.431471934,3.647418746,4.353763736,3.836036295,3.994421857,3.932490782,3.459130587,3.781300727,6.075901429,4.858228257,4.856161606,4.367658392,4.098027721,4.541118774,4.742861911
Erp29,2.754398263,3.91652373,3.712371779,3.576044958,3.369126015,3.693010856,3.758262607,4.681701026,4.438959657,3.517240473,3.047805804,3.95284941,3.712790546,2.815142336,4.094244105,4.132479623,3.964373405,3.353240425,4.568124372,4.529956688,3.000833825,4.007785157,4.603851987,4.668578083
Erp44,5.803118944,5.855675997,5.255302202,5.367201967,5.866677711,6.18858485,6.013534441,5.977895277,6.40010733,5.865221434,6.479547689,6.024421366,5.87568332,6.115625698,6.044217496,6.437755862,5.821100206,5.807604182,5.792393089,5.711730587,5.731879612,5.899618205,5.817414916,5.816067196
Esam,3.072399958,3.829647835,3.798798692,2.859349135,4.236638486,3.530298941,4.102623853,4.253317193,4.020788144,4.513727194,4.661921909,4.487391368,3.712790546,4.797293935,5.099708065,5.179021811,4.638721061,2.940262517,4.397788606,3.979620845,3.746479132,4.411320956,4.003488975,2.9932853
Esco1,5.164616294,4.918746617,5.76499794,5.500716433,5.570095033,5.588205787,5.572263999,5.633818748,4.609927818,4.957578504,4.815367332,4.94784015,3.754636607,3.994421857,3.484468226,3.576782079,3.905594489,3.975168297,5.444086196,5.607190105,5.132956711,5.593239891,5.026528528,5.61318891
Esd,6.791135974,6.682152244,6.934950953,6.5643351,6.929063411,6.765558583,6.532488715,6.446298369,6.59596386,6.470469795,6.692653003,6.537180138,5.625309534,5.438993401,5.34448174,5.122094758,5.331223639,5.049393112,6.5904973,6.850715595,6.450433048,6.385101887,6.362105788,6.672820962
Esf1,4.26511715,4.980239708,4.460069208,4.733387332,4.774589452,4.452816549,6.329322981,6.027345731,5.729890046,6.248228392,5.821840029,5.499838461,5.423912966,5.336792898,5.215721951,5.331771783,5.436609401,5.491271235,5.64785514,5.670818855,5.756181793,5.76835472,5.557030111,5.632857495
