,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ME_F1_106_c,ME_F1_108_d,ME_F1_203_a,ME_F1_204_a,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Dpt,6.588249787,6.517246136,6.838860032,7.588625361,7.162018651,8.041773004,7.628391746,7.588431611,7.379663364,6.865299734,7.580500226,7.289962289,7.284075767,6.200123229,7.41045265,6.992057397,6.667501296,6.813610042,6.862241551,6.761576783,6.95008398,6.46907358
Dpy19l4,5.608671827,5.378457607,5.802227055,5.386596534,5.628272056,5.367413106,5.404129634,5.566395861,5.376290653,5.874167086,5.821100206,5.774463555,5.507889876,5.274269287,4.620277926,5.499893508,5.923759905,5.397506087,5.731879612,5.683452614,5.817414916,5.377038311
Dpy30,4.595237414,4.189582891,4.873009048,4.665378488,3.931511346,4.955702721,4.457815782,5.173237692,5.301390499,4.801803565,5.026130167,4.513312255,4.512176411,4.140686845,4.36293841,3.896714115,3.971834824,4.299243151,4.745205208,4.716650576,3.980031424,4.643200448
Dpysl2,5.496570353,5.506036074,6.376608815,6.041940132,6.055462325,6.506021966,6.241678227,6.115625698,6.121326677,5.803512544,6.009936511,5.78548434,6.446126405,6.516948459,7.189709946,6.224734213,5.487207574,4.702259267,5.205348672,5.120074776,5.524969566,5.74554999
Dr1,5.986120578,6.075157222,6.145886808,5.956284923,6.145059186,6.170677713,5.846661839,5.645480809,5.760669425,5.984739936,5.890605348,6.129306625,5.821158305,6.200123229,6.023683266,6.475883013,6.331250967,6.35252811,6.116789215,6.214038454,6.325347675,6.257312648
Dram2,5.809705031,5.790110439,6.117816022,5.627309096,5.926627191,5.561755311,6.161460689,6.176068584,5.78457271,5.827450595,5.697255813,5.740543708,6.525078486,5.98196945,5.784520522,5.971649021,5.64785514,6.35252811,6.153846978,5.874303595,6.015011718,6.038824924
Drap1,6.06684724,6.075157222,6.030169834,5.956284923,5.542935482,5.95689685,5.659087595,5.602080963,5.173981302,5.286550248,5.347794317,5.103770221,5.757185005,5.537252508,6.14442433,5.428397257,5.306403629,5.122040199,5.915717118,4.936582317,5.524969566,5.229825396
Drg1,4.539751014,4.552542462,5.143007105,3.930522402,4.069726052,4.549833282,3.836036295,4.451002368,3.541694221,4.411195515,4.691607738,3.161478389,4.760792148,4.952417966,4.81476895,4.794332673,5.444086196,5.181502053,5.169606707,5.301953549,5.524969566,4.880854549
Drg2,4.380422216,4.334139738,4.244972264,4.251396128,4.490191965,4.487391368,4.762553989,4.122809418,3.750284592,3.969926702,4.526750171,4.257242644,4.211609673,4.615483991,3.276012259,4.675844892,3.564834972,4.529956688,4.367658392,3.808366941,3.572884791,4.118473069
Drosha,4.989660443,4.856047509,4.244972264,4.34424182,4.661921909,5.142754739,4.699025137,3.853482834,4.492798065,4.797931756,4.973711621,4.67145383,5.000691317,5.367359498,5.497675257,5.232426304,4.720455994,4.529956688,4.367658392,4.26316196,4.663970644,4.668578083
Dst,9.668270825,8.542703054,9.55264858,9.649470157,10.16692526,9.606283304,9.854529157,9.952054899,9.69304835,9.904671732,9.541693276,9.841968388,9.782861925,9.936939289,9.378594984,9.19076201,8.702790443,8.663737861,8.527996115,8.714294743,7.512737911,8.699754091
Dstn,5.017007758,5.670699928,5.301144654,5.627309096,5.475448116,6.303462267,5.771446409,5.511156552,6.083287192,5.251590418,5.935148853,6.048438707,5.386278088,5.321565096,5.109920594,5.695302184,5.353772878,5.397506087,5.803591484,5.076342888,5.475501944,4.778617063
Dtd1,5.534913545,5.195875877,5.086192952,4.986673129,4.395998511,5.649916389,5.279369826,5.807095111,5.496945018,5.449669337,5.412236884,5.348595566,5.000691317,5.122300316,4.740088558,5.534355399,5.721933444,5.751514072,5.274281034,5.24383822,5.619089835,5.229825396
Dtna,7.709470788,7.377843191,7.201825511,6.895544252,7.91423306,7.707034926,7.975316639,7.804863678,7.745095753,8.014721037,7.860052895,8.019712794,7.339737724,7.443955411,7.026473688,6.875924469,7.519997785,7.796919609,7.639540094,7.249005894,7.3846046,7.69239509
Dtnbp1,5.287894293,5.574172973,5.653733701,6.148768222,4.578610645,5.296344368,4.823402951,4.872277635,4.757216113,4.207366795,5.135155756,4.741725074,5.941176112,5.321565096,5.821211225,4.850116471,5.75759337,5.446806885,5.402988203,5.822301525,5.557030111,5.467446234
Dtwd1,4.380422216,4.334139738,3.429537117,3.517240473,3.047805804,4.126792675,4.107649636,4.122809418,4.094244105,4.359594342,4.638721061,2.987302643,4.211609673,3.952801774,4.069168661,3.869977924,4.646299803,4.856161606,4.703822401,4.936582317,4.830614526,4.683743989
Dtx2,4.380422216,4.253317193,3.89411593,3.930522402,4.069726052,4.282002341,3.949577107,3.994421857,3.750284592,4.132479623,4.405352173,3.673931352,4.30405998,4.274576358,3.80179745,4.612739942,4.097374823,3.30951081,3.294292241,3.911518911,4.003488975,3.584266797
Dtx3,3.996714223,3.979516106,3.234188542,3.668541594,4.490191965,3.755021493,3.949577107,4.240699416,3.649755977,3.576782079,3.185662771,4.437426095,3.892314964,2.953569083,2.77549923,3.974072463,3.200381863,3.07877717,3.928577685,4.411320956,3.804193017,4.002304404
Dtx4,3.622418372,2.685678212,4.192106881,3.594873569,4.242066204,3.905877028,4.991917395,4.240699416,3.541694221,4.346400422,4.272792533,3.673931352,2.782247634,3.368222979,2.917820043,4.955602482,2.976575554,2.644087205,3.421302261,2.511677156,3.572884791,2.866108506
Dtymk,4.989660443,4.74218801,5.027049378,4.591544559,4.620867565,4.455126804,4.73113922,4.451002368,4.980596039,4.697597062,4.583821633,5.206736978,4.760792148,4.891034111,4.186310415,4.247688532,4.858228257,5.06002183,4.800468942,4.781815806,4.572826335,4.742861911
Dus1l,3.47244071,4.167696694,4.137230398,2.935782716,4.954049872,4.353763736,3.42935998,4.451002368,3.932490782,3.969926702,3.680244816,4.67145383,4.472885814,3.53802009,4.395420563,3.636124911,4.790986096,4.334248956,3.746479132,4.668569942,4.663970644,4.118473069
Dus3l,3.305043505,4.167696694,3.429537117,4.431471934,4.295222925,3.64490757,4.56290408,5.011477698,4.433558258,3.576782079,3.781300727,3.673931352,4.30405998,4.759827724,3.94166812,4.162122166,4.204615229,4.529956688,4.367658392,3.697267791,4.541118774,4.225980678
Dusp1,7.283574948,7.21665484,7.751156573,8.433269953,8.044131199,8.340034329,6.317669428,7.150019536,7.67648904,7.642091701,8.256514636,8.211443292,8.542588672,7.742166498,6.334088969,7.859943521,6.529921096,7.006804806,6.039689667,7.398552637,7.454355316,6.834433906
Dusp11,4.293633377,3.979516106,4.020788144,4.431471934,5.251686577,3.95284941,3.42935998,3.322602624,4.094244105,4.411195515,4.047876135,5.103770221,4.30405998,4.274576358,3.80179745,3.757784526,3.717496546,3.979620845,3.538029874,3.911518911,4.093681527,4.668578083
Dusp12,3.821670919,3.979516106,3.335166711,3.805470524,4.620867565,3.95284941,5.142791048,4.943555875,4.604444493,5.418487688,4.839544029,4.597583751,3.892314964,3.952801774,3.562726031,3.636124911,3.981518109,5.293542885,4.703822401,4.668569942,4.931894548,4.507446727
Dusp13,7.596176743,8.272299232,8.524583593,7.294988418,7.399010716,8.196159606,7.856602975,7.89752772,7.570485948,7.849199999,7.733356951,6.823335458,8.056422403,7.801753049,8.285892483,7.11099666,7.343515979,7.191690951,7.382848968,7.09315912,7.718097512,7.025111996
Dusp14,4.201287462,3.875341429,4.137230398,4.591544559,5.251686577,3.39572513,5.322166451,5.602080963,5.46771416,5.38661718,5.056690803,3.93614039,4.00677991,4.615483991,4.186310415,4.612739942,4.790986096,3.979620845,3.294292241,4.182956258,4.406823512,4.002304404
Dusp16,4.613268578,5.434520934,5.086192952,5.386596534,5.355441186,5.259452523,4.331118661,5.310070062,5.437878777,5.320682925,4.839544029,5.477745653,5.757185005,5.7248483,5.991850263,5.273808035,5.399636128,5.293542885,3.294292241,4.781815806,5.071615104,4.326029573
Dusp22,5.457180207,5.434520934,5.250334047,5.296522642,5.926627191,5.649916389,5.590721621,5.602080963,5.525595364,5.703578958,6.081037586,5.156172011,5.583618564,5.067865656,5.079953979,4.071159092,5.206727264,5.397506087,4.800468942,5.203751949,5.389089122,4.945197493
Dusp23,2.89756293,5.059906257,3.89411593,5.097516697,4.069726052,4.667151082,5.043981545,4.634513394,5.437878777,5.141321111,5.056690803,4.157942973,4.472885814,4.615483991,4.489608898,3.757784526,3.855538603,3.979620845,4.703822401,3.140443403,4.178565768,2.9932853
Dusp26,7.078211635,6.272629789,7.637122666,6.716084274,6.80687739,7.82535047,5.555284069,5.917434154,6.409614719,5.021920893,5.209572408,5.840000589,7.580560289,7.576587184,7.798686172,7.220872733,7.343515979,7.220326461,7.5450654,7.657894657,7.607633766,7.153213532
Dusp3,6.143295166,5.434520934,4.8335115,4.866599258,5.49829648,5.75966283,6.137697596,6.234080665,6.02427858,5.827450595,6.334851588,4.872764222,6.318953885,6.389581132,6.408314774,5.812265303,6.014986397,5.711730587,5.576785861,5.84853685,5.42427775,5.552521207
Dusp5,5.375018829,5.320127258,4.526974853,4.431471934,3.647418746,3.857323664,3.42935998,4.943555875,6.083287192,5.703578958,5.780907122,4.051300032,5.253463468,3.53802009,4.489608898,3.974072463,3.564834972,2.46423466,2.632031823,3.301049879,1.856944956,1.371671746
Dusp7,6.532488715,6.636771938,6.512180203,5.985405385,7.030258532,5.791022342,6.638696434,6.544909822,6.823664684,6.280159389,5.758028995,6.155285714,6.392388862,5.759608368,6.408314774,5.541150083,7.290943869,7.355552245,7.354477437,7.039509549,7.414661662,7.393539054
Dusp8,5.096070484,5.10666787,4.762764897,5.249285077,4.661921909,5.591744938,4.56290408,4.943555875,5.96275311,6.047231769,5.443409906,5.156172011,5.054913104,4.537508414,5.451612065,5.273808035,4.568124372,4.225445805,3.538029874,4.545671673,4.003488975,4.326029573
Dut,5.553709641,5.607071465,4.96537717,5.768020403,5.857621447,5.278016365,5.555284069,5.388797946,6.786267966,6.927533896,5.227591896,6.062235413,5.299107122,5.367359498,5.942743722,6.115163279,6.114602418,6.144149445,6.479917071,6.162685776,6.115315179,6.165766391
Dvl1,5.809705031,6.292991409,6.030169834,6.199355242,5.926627191,5.75966283,6.012630499,6.115625698,6.044217496,5.941522344,5.697255813,5.348595566,6.227483846,6.200123229,5.70821522,5.568013261,6.354725553,6.612256077,6.153846978,6.455071173,6.59611476,6.916966207
Dvl3,4.539751014,5.506036074,4.762764897,5.296522642,5.586234643,5.332316308,5.189768695,4.943555875,4.980596039,4.346400422,4.691607738,5.498189784,4.550425269,4.891034111,4.661330325,4.546747954,4.720455994,4.334248956,5.274281034,5.162519943,4.777177112,5.0067929
Dym,7.338803175,6.785018503,7.046693927,6.816726747,5.196869963,6.582690873,6.252782264,6.234080665,6.004060231,6.307650193,5.644579599,5.774463555,6.819429769,6.810120968,7.13246545,5.840082258,6.775809612,6.299836427,6.618923832,6.616448489,6.770317853,6.574541113
Dync1h1,6.641935619,5.195875877,6.8215606,6.800433035,6.384633245,6.303462267,6.137697596,6.629478527,6.004060231,6.201741697,6.399861993,6.413874419,6.688349947,6.615120315,6.546207238,6.403156154,6.400559003,6.035545508,6.389593331,6.330303912,5.458628493,6.096626362
Dync1i2,6.350976352,6.446298369,6.253007485,6.589042751,6.80687739,6.449821518,6.317669428,6.445283195,7.065281604,6.876816549,6.399861993,6.687507137,6.446126405,6.64331486,6.589390334,6.374909752,6.740602621,6.654837918,6.884460159,6.488823095,6.900966603,6.424628634
Dync1li1,6.823276323,6.960754323,6.95447413,6.92590384,6.055462325,6.829183588,6.586989404,6.939493214,6.900053096,6.75728941,6.620477876,5.807604182,6.635952677,6.557022343,6.546207238,6.115163279,6.610137036,6.098602179,6.592173362,6.88077482,6.626648827,6.447022252
Dync1li2,6.434479217,6.726337337,6.533586673,6.511086608,6.590031586,6.474175983,6.359360911,6.369658809,6.42490463,6.422119999,5.844642617,6.576524868,6.61805532,6.70703532,6.692010536,5.996581519,6.722671602,6.403362947,6.326074557,6.437894408,6.325347675,6.282436104
Dynll1,6.524507301,6.345989597,7.532348262,6.864532028,7.268860529,6.801605582,6.425622176,5.942705556,5.467123459,5.287240876,5.971317179,5.479803152,6.362602222,7.013470236,6.845414444,6.439977809,5.818965884,5.571182294,6.00482102,5.781487116,5.727867519,6.038824924
Dynll2,8.432529799,8.337464804,8.286872742,8.253433013,8.253351904,8.392090228,8.91992438,8.462170467,9.078465151,8.956837751,9.082339555,8.62797445,8.225527309,8.443921282,8.225582288,7.926327087,8.05223938,7.698582534,7.752570143,8.186143308,8.246427194,8.025665012
Dynlrb1,7.222276258,7.307827857,7.695266014,7.113406282,6.549475743,6.682497115,7.195892966,7.072640081,7.075296856,6.745150523,7.0246249,6.731343071,6.940738052,7.190520163,7.146990922,6.859029385,6.747713089,6.807960971,6.862241551,7.054575865,6.946457626,7.24169696
Dynlt3,6.659395942,6.272629789,6.512180203,6.428676271,5.747499503,6.190411717,6.274737186,6.773365134,6.499014033,6.557092754,6.620477876,5.840000589,6.25090077,6.200123229,6.524121102,6.092213873,6.509150312,6.326422813,5.826724606,6.273342082,6.53303672,6.490792926
Dyrk1a,5.972215797,6.292991409,6.173421823,6.480731704,6.479547689,6.683611507,6.349050447,6.356660168,6.66273427,6.75728941,6.195321868,6.466699643,6.696900753,6.670968946,6.63131834,6.682060851,6.5904973,6.523125689,6.225223575,6.569901934,6.126041437,6.53327463
Dyrk1b,6.143295166,5.359275011,5.350226465,5.865221434,5.355441186,5.259452523,5.608119228,5.011477698,5.482403619,4.589759361,5.096456656,4.051300032,4.944351827,4.952417966,4.186310415,4.955602482,5.529077394,4.702259267,4.976269969,5.03124382,3.907279642,5.280583863
Dyrk2,7.941258099,7.866385415,7.695266014,7.706987171,8.112366577,8.146510718,7.955064446,7.653652,7.122669181,7.049581971,8.394503932,7.391814372,7.361414796,7.332929559,7.284727546,7.064590875,6.740602621,7.177157196,6.769778524,7.509589164,7.009218652,6.86801549
Dysf,6.285016167,6.121434916,5.999729863,6.363624294,6.359895807,6.229087934,2.607797812,2.025417698,1.804663645,1.816455201,2.153154093,2.67887367,6.581580434,6.011112035,6.334088969,5.894157061,6.307388092,6.568379088,6.225223575,6.152192192,6.450101268,6.096626362
Dzip3,5.809705031,5.470721589,6.089188201,4.802594113,5.080562532,5.43514467,2.607797812,3.091070453,1.804663645,1.816455201,1.81469277,2.940262517,5.343350889,5.793550598,4.885773069,5.428397257,5.859571207,6.188302641,5.999537626,5.84853685,6.209096062,5.7812394
E2f3,5.096070484,4.800240712,5.143007105,4.866599258,5.196869963,4.282002341,4.937903776,5.197935486,4.433558258,4.979819072,5.347794317,4.437426095,4.512176411,3.53802009,4.740088558,4.162122166,4.790986096,4.856161606,4.800468942,4.545671673,4.541118774,3.737470682
E2f4,5.572263999,5.470721589,5.904355553,5.342262438,5.892536858,5.705832916,5.279369826,4.943555875,5.311955655,5.623806554,5.561773476,5.596278199,5.690242783,5.454805403,5.70821522,6.092213873,5.25742611,4.618678735,5.132956711,5.357818219,5.239067316,4.945197493
E2f6,6.350976352,6.482208335,6.8215606,5.734108179,6.692653003,5.979757987,6.20784393,5.844820255,6.499014033,6.830187173,6.334851588,5.933041047,6.129819454,6.200123229,6.589390334,5.812265303,6.128287966,5.540625066,6.078754418,6.173103585,6.037911781,6.331407405
E4f1,4.539751014,4.552542462,3.89411593,4.152161782,4.661921909,4.549833282,4.331118661,4.451002368,4.492798065,4.411195515,4.126809047,4.808731913,3.631909146,4.367647382,4.661330325,4.903823369,4.646299803,3.683128023,5.056739454,4.182956258,4.475533212,4.225980678
Ebag9,5.958175695,6.43406585,6.568642197,6.013949668,6.145059186,6.024421366,6.328205793,6.161193604,5.819701075,5.984739936,5.867807015,5.53822892,6.289179041,6.396886338,5.959298987,6.259552145,6.377824283,5.684448393,6.618923832,6.109437521,6.24240465,6.009031922
Ebf1,5.043846313,5.10666787,4.526974853,5.833543207,5.404648189,5.296344368,5.692092865,6.08442733,5.244617274,5.320682925,5.913049005,5.302841901,5.789526221,4.952417966,5.079953979,5.996581519,5.206727264,5.540625066,5.871906941,5.120074776,5.026528528,5.280583863
Ebf3,4.293633377,4.253317193,4.020788144,3.805470524,4.578610645,5.015780036,4.881788998,4.240699416,4.168792015,4.411195515,4.526750171,4.808731913,4.211609673,4.175084546,3.80179745,4.247688532,3.394086447,3.30951081,4.600233637,3.697267791,4.003488975,4.118473069
Ebna1bp2,3.758262607,4.253317193,4.526974853,3.348192456,4.069726052,4.126792675,3.949577107,3.522064715,3.750284592,3.881222532,3.5715735,4.519726227,4.211609673,4.68946033,3.646895893,4.675844892,3.981518109,4.225445805,3.746479132,4.726303758,4.093681527,4.118473069
Ecd,5.195168206,4.74218801,4.244972264,5.070593931,2.775909185,3.857323664,3.949577107,4.240699416,4.604444493,4.411195515,4.272792533,3.522478242,3.892314964,5.321565096,3.94166812,4.612739942,5.529077394,5.397506087,5.521147597,6.173103585,5.735732555,5.510610733
Ece1,5.778085173,5.23849314,6.69428279,5.896219,6.309110877,6.626809737,6.956511482,6.445283195,6.314307498,6.806294864,6.415666958,5.705807115,6.505741824,5.98196945,6.567960351,6.092213873,6.400559003,5.900508387,6.450433048,6.554046601,6.641676891,6.447022252
Ech1,8.871326722,9.334140838,9.242400627,9.064944231,9.830135001,8.778503496,9.32954181,9.124429113,9.883549379,9.915879698,9.578138936,8.595134871,8.970483698,9.231277475,8.84920484,8.785481866,10.14624635,9.892769457,9.810869733,10.11568762,9.679474742,9.7990083
Echdc1,5.096070484,5.359275011,5.143007105,4.665378488,4.395998511,5.785842865,4.489703269,4.240699416,4.757216113,4.589759361,4.791897767,5.991893367,5.427964816,6.067688476,5.451612065,5.534355399,5.306403629,5.969606316,5.924321741,5.320816487,5.353020708,5.422950345
Echdc2,3.115641957,3.508283507,3.429537117,3.930522402,4.88637436,3.857323664,4.632569424,5.197935486,2.831183116,3.03463318,4.201646476,3.353240425,5.157601271,4.537508414,4.294650838,3.974072463,5.64785514,5.181502053,5.463277246,5.740605498,5.707444028,5.065865839
Echdc3,4.613268578,5.10666787,5.350226465,4.152161782,4.069726052,5.467854162,4.372428776,4.545673745,4.492798065,4.278557808,4.272792533,4.67145383,5.343350889,3.952801774,4.294650838,2.799807628,4.568124372,5.494478464,5.65641586,4.835270768,4.882143112,4.945197493
Echs1,4.68322075,4.800240712,4.526974853,5.043159178,5.452232064,5.296344368,5.322166451,4.718198281,5.407413337,5.141321111,5.209572408,4.872764222,6.446126405,6.615120315,6.054829013,5.664517271,6.100785803,5.900508387,5.576785861,5.996655602,5.991742288,6.152200925
Eci1,8.305210514,8.413827103,8.354589444,7.962654307,7.964325368,8.2107271,7.789562587,7.436112746,8.257492382,8.214016904,8.216472059,8.047722487,9.146231033,9.659407885,9.369333501,8.902233599,8.736688946,8.25695785,8.425651584,8.759932118,8.280431575,8.502723392
Eci2,5.712687236,6.231023599,5.871109591,5.896219,6.502331729,5.732998921,5.675684613,5.687613118,6.866849818,6.751045008,6.071092322,6.424595336,6.738910706,7.13534042,6.14442433,6.902551693,7.319856779,7.162475535,7.319025877,6.918415073,6.783928165,7.010150131
Ecm1,3.622418372,3.979516106,4.137230398,4.866599258,5.196869963,5.332316308,5.404129634,5.255091968,4.804744872,5.141321111,5.314460419,4.051300032,4.760792148,4.274576358,4.81476895,4.850116471,4.397788606,4.529956688,4.703822401,4.33914254,4.979987341,5.467446234
Ecm2,3.996714223,3.875341429,4.345223994,5.097516697,4.740683721,4.609684367,5.142791048,4.545673745,4.094244105,4.278557808,4.340594321,4.872764222,2.333425277,3.952801774,4.489608898,4.955602482,4.790986096,4.435418855,4.891045601,4.608429072,5.115335247,5.133701568
Ecpas,9.332329386,9.070789453,9.290346095,8.88348231,9.287130824,8.894329642,8.888232003,9.137787692,9.109550834,8.978380187,8.931101485,8.909417793,8.970483698,8.600721847,9.055760787,8.650610311,9.136052387,8.749738579,8.55595171,8.724955308,8.740952691,8.664354625
Ecsit,6.927834825,6.390699749,6.750210723,6.644864289,6.283031901,6.641221215,6.720958276,6.540318497,6.688301743,6.468528207,6.811789113,5.705807115,7.050499059,7.212641735,6.478907846,6.979605854,6.686126804,6.245147091,6.696322037,6.661540104,6.53303672,5.7812394
Edc4,3.47244071,3.508283507,4.762764897,4.431471934,4.395998511,3.755021493,4.331118661,5.011477698,4.371781404,4.132479623,3.5715735,4.597583751,3.631909146,4.455076358,4.069168661,4.612739942,4.922475423,3.979620845,5.132956711,4.88681567,4.258731964,4.742861911
Edf1,8.147111146,8.17142785,8.112921329,7.864187202,8.184580755,7.986407436,8.047233266,8.136816486,8.21414632,8.120232155,8.316674665,7.52729561,7.960257693,8.22509227,8.252698538,7.939244971,7.695726145,7.559822635,7.65254527,7.708906384,7.718097512,7.756555714
Ednrb,4.749937417,4.800240712,4.345223994,5.865221434,5.49829648,4.487391368,4.489703269,5.952415002,5.278679309,5.91941816,4.839544029,6.230528761,5.655569634,4.952417966,5.251072387,6.068893494,5.685369704,5.293542885,4.600233637,5.076342888,4.33467709,4.880854549
Eea1,7.640810395,7.496722335,7.646977413,7.644462743,7.85527627,7.600440167,7.49447569,7.223459136,7.248311882,7.614840568,7.319962365,7.798538911,6.968123579,7.433229514,7.189709946,6.627237924,6.876551563,6.696198884,6.696322037,6.81577292,6.797411277,6.800051978
Eed,5.661616741,4.883161717,4.68836933,5.364599778,5.330193652,4.99348702,5.189768695,5.197935486,5.021402542,4.845598174,4.839544029,5.670213471,5.081278468,5.039858227,4.294650838,5.333736732,5.180693682,3.763156339,5.307550205,4.545671673,4.882143112,4.70619805
Eef1a1,8.292565624,8.765171496,8.833866481,8.716683576,8.969764588,8.932621061,8.813334117,8.988291716,8.929723378,8.97792574,8.36460721,10.27276814,8.656871946,8.405092763,8.714918945,10.94945006,7.972316831,7.831391675,8.229835362,7.676320878,8.001952594,7.98415675
Eef1a2,4.87477236,5.059906257,4.609927818,4.866599258,4.578610645,4.924463437,4.331118661,2.815142336,3.932490782,4.697597062,4.526750171,4.437426095,4.112826886,3.827340664,4.069168661,4.477592046,3.717496546,4.107762856,4.235609909,4.668569942,3.693169672,4.118473069
Eef1akmt1,3.758262607,3.508283507,1.982639131,3.348192456,3.276495212,4.775642062,3.263597469,4.451002368,4.850757634,4.346400422,4.405352173,3.353240425,3.481655787,3.175742315,3.047353081,2.799807628,3.394086447,3.07877717,3.746479132,2.959691519,3.136826938,3.584266797
Eef1akmt2,5.146470047,4.856047509,3.755241616,4.591544559,4.815367332,5.059358506,4.881788998,5.46345105,5.061086514,5.215762348,5.443409906,4.559180139,4.824609178,4.367647382,4.489608898,4.247688532,4.568124372,4.618678735,5.340069437,4.608429072,4.72168399,4.668578083
Eef1b2,7.833864086,7.509829508,7.791697917,7.569522104,7.362117971,7.247024869,6.990075608,7.520122604,6.707184319,7.089723746,6.781614199,7.347432011,7.237946343,7.187332065,7.196708403,7.906730763,7.758673447,7.787382101,7.443967812,7.785592326,7.797405023,7.761031254
Eef1d,8.265855927,8.312748229,8.336434219,7.991647769,8.441943578,8.326721482,8.088103239,8.109956232,8.187499459,7.961629751,8.033962807,8.151397229,8.266315325,8.206315584,8.458860546,8.301292715,8.384241613,8.324459626,8.026768779,8.43583578,8.285224572,8.213722278
Eef1e1,5.416684325,4.935907651,4.609927818,4.866599258,4.88637436,4.422124133,5.043981545,5.107716786,4.959751636,4.868853519,4.4673277,5.181676015,4.587686205,4.577022947,4.81476895,5.053898375,4.304432686,5.122040199,4.800468942,4.411320956,4.541118774,4.945197493
Eef2,6.883948543,6.446298369,6.278589435,6.199355242,5.404648189,6.190411717,7.239302452,6.672073896,7.418373539,7.628530477,7.311539421,4.519726227,6.318953885,6.039677574,6.750252236,7.445733411,7.015588891,6.452467368,6.670981214,7.136391741,6.656550024,5.671408055
Eepd1,7.701064825,7.796795775,7.787249174,7.283310773,5.586234643,6.972844165,6.736862394,5.881584008,5.496945018,5.703578958,6.249239141,5.705807115,6.771659543,6.981875428,7.913581174,6.115163279,6.924401717,7.234433858,6.949133818,7.008431179,7.152503507,6.764830623
Efcab14,6.23930541,6.199012106,6.750210723,6.307079797,6.456398046,6.382791685,6.828772232,6.369658809,6.499014033,6.237915305,6.75079465,6.687507137,5.821158305,5.98196945,6.599987125,6.619233202,6.128287966,6.129126233,5.937133209,6.488823095,6.003423917,6.205713852
Efcab2,4.87477236,7.396782083,3.89411593,6.511086608,6.283031901,6.002262507,5.322166451,5.917434154,5.96275311,5.568064013,5.115935961,6.566879141,5.507889876,6.321416488,4.294650838,6.3843868,6.389236426,6.378169419,6.450433048,6.747703551,6.397950572,6.65369331
Efemp1,3.47244071,4.167696694,4.526974853,5.511967341,5.586234643,5.101659137,5.142791048,5.076345039,3.932490782,4.09352601,5.617502233,4.519726227,5.157601271,4.175084546,4.740088558,5.695302184,4.858228257,4.742301188,4.976269969,4.098027721,4.882143112,5.065865839
Efr3a,6.615342409,6.848301771,6.786326701,6.99196344,6.229415607,7.071917736,6.915175803,6.753667839,6.943167869,6.899577985,7.215488412,7.128855215,6.203680552,6.41160529,6.282394847,6.749618271,6.100785803,5.540625066,5.340069437,5.924496276,5.557030111,5.552521207
Eftud2,4.989660443,5.320127258,5.086192952,5.200448323,5.251686577,5.705832916,5.322166451,4.943555875,5.407413337,5.449669337,4.973711621,5.633719413,5.253463468,5.274269287,5.354823889,5.695302184,4.922475423,5.540625066,5.731879612,5.203751949,5.458628493,5.467446234
Egf,5.375018829,3.763054927,4.8335115,5.043159178,6.309110877,6.024421366,5.363730031,6.713447626,6.45500674,5.91941816,5.935148853,5.302841901,5.230088441,4.615483991,4.661330325,3.503253236,5.859571207,5.790229872,6.259629872,5.65400407,5.557030111,5.816067196
Egfl7,3.115641957,3.198661826,3.601561341,3.930522402,4.395998511,4.206483745,3.949577107,2.025417698,3.84426226,3.03463318,4.526750171,5.156172011,5.054913104,4.175084546,4.186310415,3.974072463,3.717496546,4.334248956,5.132956711,3.697267791,3.441651392,4.225980678
Egfr,4.749937417,4.334139738,4.68836933,3.930522402,5.628272056,3.094328759,4.823402951,4.451002368,4.307240435,4.845598174,4.4673277,3.93614039,4.944351827,4.68946033,5.01808618,4.071159092,4.983983051,5.122040199,4.367658392,4.726303758,4.093681527,4.225980678
Egln1,9.611094516,9.396630442,9.354900581,9.417213467,8.944406241,9.36280503,8.056768084,8.074670105,8.150405342,8.396433781,8.269618936,8.11545614,9.542326718,9.892604868,9.675177296,9.064306578,9.63739762,9.357816193,9.284773581,9.621317421,9.629466244,9.492194107
Egln2,7.798841352,8.014745956,7.365949901,7.598082962,7.298452818,7.017718795,7.531419459,7.333700548,7.50724807,7.231028831,7.112583545,7.413503828,7.372132403,7.309660978,7.310764376,6.749618271,7.41225105,7.206079752,6.8396754,7.371668018,7.462841735,7.166769524
Egln3,6.494080156,5.846302918,5.729890046,6.295500007,6.283031901,7.279633072,6.317669428,4.872277635,5.9416474,5.941522344,6.75079465,6.651453402,6.738910706,7.595951679,6.610506647,6.611183819,6.5904973,6.886890689,7.011032229,7.278252281,7.17333687,7.054578122
Egr1,7.200495395,6.947970603,6.533586673,8.259405826,5.304496398,7.819025851,5.189768695,6.234080665,7.954502288,6.087438086,8.349958027,6.871145788,7.802806916,5.931949258,6.085316552,7.155956154,3.981518109,5.181502053,5.871906941,6.694457373,6.126041437,5.065865839
Ehbp1,4.749937417,5.279887525,4.8335115,5.097516697,4.490191965,4.667151082,4.489703269,5.255091968,4.980596039,5.021920893,5.380375387,5.435967182,5.206328438,4.175084546,4.953445939,4.955602482,4.304432686,4.9952172,3.928577685,4.26316196,4.093681527,4.813507463
