,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48,X
Anxa5,5.556225379,5.60132224,6.086971377,5.152288917,6.34510099,5.730997046,5.537109958,5.272614222,5.100637335,6.712991948,5.572952798,6.609421754,6.261382226,6.060520922,6.199204728,5.850150014,6.14748595,6.390622654,5.713052635,5.923866689,6.344780872,5.433747111,6.196413944,5.767642513,Anxa5
Anxa6,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,7.553871091,7.762227174,7.407146695,8.232762628,7.858733312,6.947211825,7.598295858,6.825815811,7.909994759,7.684337461,7.939485604,7.324328718,7.16103185,7.180637799,6.7565352,6.199355438,7.462858499,7.366684599,Anxa6
Anxa7,4.631747522,5.414391881,5.364664304,5.541449222,5.613083303,5.146028263,6.396455975,6.266269869,5.669435515,6.17084789,4.87238772,6.40533896,6.815635047,7.016759936,6.456892849,6.682729638,6.525690711,4.717791606,5.867133349,6.040038943,6.360578258,6.229761761,6.033968297,6.152394916,Anxa7
Aopep,5.951748035,5.332265629,5.989013402,6.462249581,6.418105471,6.039121757,6.79535524,6.578687382,6.592402113,6.764216861,6.347082322,6.666820129,6.501781072,6.516512059,6.216731293,6.213992828,5.967508649,6.368934092,6.659219155,6.857763875,6.376204535,6.372864584,6.38796124,5.965136973,Aopep
Ap1ar,4.794902232,4.497495299,3.517716037,4.879961645,4.870519477,4.146009415,4.683751104,4.610224903,4.357069508,4.145365347,4.564187815,4.481809142,4.31581817,3.96931298,4.836567879,4.507990544,3.950630716,5.231953801,3.077459317,3.824263042,4.414205017,4.482489916,4.754795561,4.492482985,Ap1ar
Ap1b1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,5.988872668,5.893757073,5.953019004,5.292168536,5.695651668,5.646309609,6.148049941,5.533265794,5.698288855,5.917524633,5.578763515,5.997093576,6.298922665,5.958024183,5.616534049,6.048315868,5.951409795,6.138822479,Ap1b1
Ap1g1,5.951748035,6.329239636,6.148766406,6.336840378,5.911623469,6.171572943,5.960898191,5.94593048,6.162342138,6.337956005,6.011329699,6.226008101,6.346044859,6.539328165,6.500475194,6.159373779,6.089952604,6.182581119,6.199257379,6.28844374,5.858247046,5.97840806,6.133613149,6.365500652,Ap1g1
Ap1m1,5.361653738,5.001256828,5.809342099,5.293996764,5.483014346,5.660607089,4.293004156,3.969553487,4.622858517,4.145365347,4.280307112,4.661987365,4.747933322,4.609967793,4.224502822,3.164105912,4.259790498,4.325902161,4.474898007,4.42207966,5.042396434,4.413525649,4.887594483,4.102787508,Ap1m1
Ap1s2,6.540121619,5.635968199,6.653932487,6.100061886,6.26820445,6.586612757,5.045203361,5.272614222,4.847215296,5.038417994,6.933747055,5.431282005,5.742270474,5.783110494,5.621416801,5.73035705,6.14748595,5.816596571,6.562259453,6.147549627,6.523809027,6.575863839,6.133613149,6.561351708,Ap1s2
Ap2a2,6.469391546,6.526790606,6.236762789,6.100061886,6.658025814,6.426147268,6.887401472,6.749878888,6.767300045,6.547407311,6.848148082,6.722021991,6.325340409,6.445815394,6.688074672,6.444654457,6.859898083,6.894262448,6.640341529,6.57922607,6.935946893,6.808536655,6.604116974,6.6971924,Ap2a2
Ap2m1,6.481423331,6.35025735,6.333069794,5.993279022,6.26820445,6.257546702,7.525502953,7.395618782,7.291013486,7.360316082,7.536357141,7.06930971,7.753590261,6.862465683,7.591853756,7.423559016,7.223137601,7.863417398,7.311809758,7.537608701,7.230571049,7.422643808,7.569513019,7.307256326,Ap2m1
Ap2s1,5.601027833,5.373913061,5.199289713,4.818735357,6.040527402,4.982527269,5.244007062,5.663862386,5.853092375,5.337971243,5.39121496,5.617484927,5.742270474,5.173715896,5.747351683,5.679508606,5.492585229,5.183077272,5.344529956,5.528722229,4.876509916,4.54830738,5.284392963,4.728249219,Ap2s1
Ap3b1,5.281346017,5.529429716,5.364664304,5.719491777,5.571016604,5.781623552,6.310393732,5.754419122,6.076322428,5.713003698,5.572952798,6.064537425,4.977583303,5.783110494,5.51210209,5.515235755,5.711856029,6.301840663,5.915041684,6.117641032,6.026128495,5.97840806,5.951409795,6.111288436,Ap3b1
Ap3d1,5.509986884,5.702859742,5.847111088,6.125566794,5.436914762,5.862242671,5.196815012,4.792242866,5.212400367,5.585893944,4.475625597,5.328316954,4.867322992,4.609967793,4.790494685,5.038491307,4.626414837,4.573545872,5.033345737,4.768494761,5.260159561,5.659005314,5.656111495,5.21577991,Ap3d1
Ap3m1,3.515217212,4.640857905,4.872975108,3.883964219,3.629307818,3.923610711,3.299581542,4.244137751,4.256351678,3.145435003,3.456806868,4.416376547,3.696081671,4.097834408,3.407539665,2.832929711,3.556625784,3.786150476,3.843358242,4.093738822,4.2200526,4.264842232,4.410841038,4.210514485,Ap3m1
Ap3s1,4.941466123,5.492093777,5.440746551,5.463587483,5.842578269,5.338675696,4.514711089,4.474723823,4.714551507,3.774992152,5.056462857,4.370815432,6.304334493,6.152184886,6.089323747,6.213992828,5.833700739,4.848917027,4.557717041,4.768494761,5.191160582,4.611252726,5.0775184,5.163117817,Ap3s1
Ap4s1,7.588717129,7.516199954,7.678232719,7.530028862,8.148924093,7.614813188,7.107513025,6.902894385,7.110916323,6.56677246,6.489580283,6.579842854,6.859497503,6.648290936,6.662722611,7.015587659,6.702450432,5.879305112,6.696249147,6.643605871,7.017925214,6.667568659,6.736799468,6.138822479,Ap4s1
Ap5s1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.101300542,3.630125361,4.030999621,3.922984536,4.171744268,3.082923931,5.390208764,4.772855933,4.078768243,4.107467127,4.034349887,3.911463618,4.193412749,4.605659832,4.07439213,5.208004068,4.66882231,4.653860748,Ap5s1
Apba3,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.750636725,4.325164393,4.030999621,4.861545124,4.054342423,5.527385442,4.229308189,4.324913771,2.811286077,4.448491442,5.161282976,1.918631758,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,Apba3
Apbb1,4.236832329,3.840806608,3.317020208,4.297001819,4.37947261,4.245547602,4.101300542,3.496569199,4.148071243,4.038455502,3.926533666,3.636488737,4.137277932,2.788043745,4.224502822,3.76130772,4.259790498,2.913856957,3.551638157,3.824263042,3.520731101,4.341098498,4.545590502,4.210514485,Apbb1
Apbb2,6.516928097,6.616268682,6.02241057,6.540181643,6.487592972,6.50860986,7.042264949,6.88963543,6.612915699,6.695504664,7.652006712,6.226008101,7.248445227,6.539328165,7.508923683,6.952738365,7.149952445,6.646391747,7.007445319,7.278496,6.826454893,7.274946776,7.347685353,6.90389423,Apbb2
Apc,6.650805488,7.188782097,6.97713839,7.07322182,6.585925333,6.731003328,6.53571773,6.355771262,6.381430543,6.557122378,6.891582328,6.526574065,6.731584109,6.816505996,6.649877536,6.892617727,6.765056911,6.667866157,6.500793179,6.511838602,6.391663372,6.535863495,6.186135156,6.377107577,Apc
Apeh,5.844044511,5.565823751,5.55926081,5.101781363,5.236202367,5.982537823,4.934485126,5.144517672,5.365317588,5.292168536,5.290971146,5.178495587,5.175647692,5.439346146,5.794800726,5.543946607,5.161282976,5.325003261,5.883280209,5.61688403,5.813036104,5.954331864,5.742823143,5.802493291,Apeh
Apex1,5.361653738,5.453765883,5.574201742,5.101781363,4.870519477,4.660593896,5.418703994,5.754419122,5.412888587,5.195955391,4.564187815,5.054945233,5.576952305,4.609967793,5.007420788,4.724117665,5.084805354,4.573545872,5.248072134,4.689373446,4.585301305,5.035140875,4.98567951,5.409081817,Apex1
Aph1a,3.989696104,4.379774751,3.850840237,4.617728643,4.169986464,4.9236327,3.299581542,4.544064598,4.256351678,4.038455502,4.726502177,2.903528609,4.038974582,3.828212598,4.224502822,3.855939762,3.16916307,4.647470763,3.380189424,3.667949665,4.352345883,3.911715068,4.410841038,3.19992563,Aph1a
Aplp2,5.796681439,5.81535961,5.629433286,5.6303674,5.633665444,5.862242671,7.5142864,7.076758987,7.777967311,7.280463201,7.757474043,7.350758633,7.573928609,7.651092996,7.553262668,8.010038013,8.145076711,8.179096549,7.669268151,7.480003159,7.423403261,7.260292407,7.646504348,7.288939766,Aplp2
Apobec2,8.042970798,8.444015134,8.177956876,8.46124534,8.785848762,7.916118253,7.157666744,7.333324796,6.767300045,7.337948386,7.324499193,8.01755933,6.888015368,6.293094926,7.165163628,6.758181355,7.438200375,6.832214799,7.147725785,7.291949238,7.289524623,7.088431004,7.107395714,6.544980145,Apobec2
Apold1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.613613167,4.848146881,3.435630321,4.981835966,4.381269219,5.054945233,2.586428729,6.648290936,5.928446585,6.350276434,5.400930273,5.183077272,3.185582895,3.667949665,4.689040618,3.135781248,2.95140842,2.376540263,Apold1
Apoo,7.411409624,7.338282431,7.051820084,6.807739131,7.489876847,7.3554964,5.439125544,5.390258832,5.503568605,5.487715358,5.183238424,5.808118432,6.510978254,6.88044729,6.887276837,7.128894363,6.689596385,6.840118268,6.892489339,7.098803896,6.882239368,6.808536655,6.964356691,6.895847799,Apoo
Apool,6.343209926,6.075251267,6.148766406,6.442090551,6.79224144,6.528509517,6.121144456,6.020814865,6.000501244,6.079425982,4.87238772,6.09622198,4.923506244,4.474469638,4.448718151,4.748991667,4.360543646,4.325902161,6.199257379,6.055896891,6.406958317,5.942141398,6.246737264,6.152394916,Apool
Appbp2,5.880846348,5.915211506,6.208022925,5.423021913,5.289058416,5.383070315,5.537109958,5.632368033,5.745725937,6.119318212,5.438840366,5.527385442,5.645369077,5.704540193,4.966566763,4.955437428,4.918495519,6.105986905,5.297107035,5.659023617,5.858247046,5.566736711,5.685598265,5.657734952,Appbp2
Appl1,4.998173364,5.001256828,5.277169087,5.192907652,4.835412,4.913377089,5.8122603,5.920079613,5.588884467,5.922923585,5.655900344,5.782379398,5.742270474,6.060520922,6.199204728,5.705156839,6.166164925,5.96853571,5.499214759,5.679640653,5.042396434,5.518290791,5.465289119,5.108460355,Appl1
Aprt,5.412811534,5.857660737,5.647526414,5.338299723,6.186977373,5.862242671,6.121144456,5.533536942,5.669435515,5.425432291,4.475625597,6.167553814,5.349773684,6.107080784,5.634516635,5.640160495,5.592639055,6.324553601,5.248072134,5.16924672,4.2200526,4.54830738,5.685598265,5.579517479,Aprt
Aqp1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,6.437635425,6.044936779,6.046470407,5.952670514,6.950273842,6.888102071,6.707785001,5.996007318,7.002909149,7.065948347,6.540083614,5.717106578,7.079289902,6.57922607,6.803522792,6.86128059,6.440794692,6.601485809,Aqp1
Aqp3,4.542685094,5.152499244,3.850840237,3.998826378,4.47381327,4.426123986,5.196815012,3.969553487,4.701585051,5.038417994,5.73433701,4.035567372,6.464394564,5.003665109,6.011126463,5.543946607,6.408992363,5.106510106,5.638908707,5.816256113,5.449322893,5.688495171,4.937470404,5.453615225,Aqp3
Aqp4,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,7.068719334,7.156417066,6.672762361,7.052195572,5.979477529,7.5144897,7.433949419,5.744360152,6.381195723,6.043511143,7.375374924,5.816596571,7.448310083,7.503322111,7.503847653,7.163855929,7.454318207,7.257885718,Aqp4
Aqr,4.542685094,3.840806608,5.256546907,4.754795093,4.37947261,4.426123986,3.61888228,4.067004931,4.451212505,3.507974125,4.381269219,3.516717587,4.617764911,4.847885257,4.224502822,4.182426154,4.454717499,4.573545872,3.704859078,4.516787806,4.473520479,4.671566173,3.909180947,4.404477722,Aqr
Ar,6.607545514,6.545135698,6.653932487,6.815595523,6.637790719,6.567503842,6.902187336,6.793245449,6.890037351,7.477499036,7.149486593,6.722021991,7.404641549,7.14129767,7.398072054,6.920256244,7.318064762,6.699490078,6.750070805,6.928378457,7.09549468,6.652683634,6.805559016,6.838230024,Ar
Araf,5.844044511,5.373913061,5.311618175,4.818735357,5.124300144,5.146028263,4.814558332,5.567238529,5.212400367,5.195955391,5.39121496,4.919814759,5.349773684,4.521064089,5.230872946,5.26231975,4.873739699,4.717791606,5.297107035,5.434820261,4.876509916,5.166691024,5.395628227,5.453615225,Araf
Arcn1,6.002727353,5.473057108,5.199289713,5.63321528,5.289058416,5.781623552,7.247249432,7.111438083,7.322492648,7.038389862,7.42842718,7.387929662,7.384766887,7.43693928,7.428475185,7.294336914,7.391339632,7.543465541,6.924050911,7.036230428,6.935946893,6.795043771,7.011690126,7.213255508,Arcn1
Arel1,3.314627145,4.42009171,3.517716037,3.998826378,3.455233179,3.923610711,4.101300542,4.544064598,4.451212505,3.797461041,3.456806868,3.636488737,4.31581817,3.296560966,3.407539665,4.182426154,3.66566404,3.648908198,4.474898007,4.605659832,4.07439213,4.341098498,4.005857019,3.395225217,Arel1
Arf1,8.789794781,8.805343013,8.626502112,8.402469936,8.804122659,8.533447241,8.750221165,8.842487467,8.868915248,8.686671912,8.622429937,8.773044095,8.850306201,8.626090773,8.76767758,8.751265847,8.731862569,8.627975659,8.533011141,8.527757545,8.310717276,8.39194545,8.66354009,8.476518097,Arf1
Arf3,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.875767514,4.901965201,4.256351678,4.507919947,2.418416579,5.097315255,4.474676602,4.693709513,4.292197284,4.107467127,4.873739699,4.848917027,4.912672109,4.914800602,5.260159561,5.501773764,5.0775184,5.363129837,Arf3
Arf4,6.019327853,6.124881847,5.919806217,5.800898588,5.340046223,5.404765625,5.610971377,5.272614222,5.588884467,6.382349662,6.639783724,6.708418278,6.325340409,6.345818592,5.771271266,6.16308009,6.184605145,6.628248955,5.434940843,5.923866689,5.766362385,5.659005314,5.685598265,5.579517479,Arf4
Arf5,5.844044511,6.264284409,5.311618175,5.650888283,5.877513879,5.660607089,5.376972673,5.188492445,5.365317588,4.922943902,2.418416579,5.11804259,3.696081671,4.324913771,5.230872946,5.626802305,4.571421951,5.183077272,5.748742968,5.385473197,5.260159561,5.287241925,5.770606303,5.619156232,Arf5
Arf6,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.462196482,5.390258832,4.979483652,5.695516558,5.06680685,5.527385442,5.080011809,5.621443179,5.330832296,5.394312945,5.492585229,5.231953801,5.976540876,5.958024183,5.668225146,5.954331864,6.175782609,5.496815031,Arf6
Arfgap1,5.6866631,5.332265629,5.689713419,5.50304356,5.064916337,5.50860253,4.814558332,5.188492445,5.265194327,5.145330518,5.808728218,5.363461507,5.467830059,5.96263541,5.230872946,5.378459265,5.673201395,5.863881655,4.974270267,5.482535095,5.042396434,4.671566173,4.937470404,5.108460355,Arfgap1
Arfgap2,7.007663723,7.123135727,7.296679708,7.198679667,6.596448649,6.781629618,7.353276385,7.221360732,6.987520959,7.119309346,5.615022621,6.981549063,7.312966825,7.349273468,7.022972571,6.936588719,7.326392636,5.717106578,6.852040909,6.601006783,6.893142015,6.949182495,6.909181655,6.581558314,Arfgap2
Arfgef1,6.886217063,6.708680502,6.852691103,6.783909947,6.755151096,6.457625667,7.462055447,7.247580855,7.481540728,7.238815736,7.368203426,7.494812955,7.567771942,7.49644876,7.367014395,7.39232231,7.223137601,7.427600988,7.287749172,7.35098297,7.377557317,7.382609236,7.262197449,7.187118626,Arfgef1
Arfgef2,4.631747522,4.640857905,4.348957116,4.297001819,4.37947261,4.338659205,5.418703994,5.427434291,5.503568605,5.861523924,6.188951343,5.011293111,6.07551511,6.469767948,6.163499601,5.779474166,5.711856029,5.909666004,5.344529956,5.61688403,5.042396434,5.287241925,4.98567951,5.409081817,Arfgef2
Arfip1,4.236832329,4.771253245,4.797817961,4.687889044,4.562361642,5.093560145,4.101300542,3.969553487,4.914864762,4.861545124,4.801288159,4.77070677,4.474676602,4.097834408,4.478083091,3.164105912,4.259790498,4.78484354,4.193412749,4.320714681,4.961836145,4.341098498,4.545590502,4.798989404,Arfip1
Arfrp1,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.101300542,4.610224903,3.763811499,4.585919608,4.054342423,4.77070677,4.397432816,3.671801132,3.999980761,3.660029918,4.626414837,5.412413208,4.474898007,4.42207966,4.473520479,3.808054218,4.479788419,4.653860748,Arfrp1
Arglu1,6.175603337,6.264284409,6.90734514,6.815595523,6.34510099,6.83053942,7.342475572,7.390921278,7.122408534,7.092837299,7.398629527,6.935582034,6.739430693,7.58683541,6.951494839,6.56159408,7.102251725,7.628066763,6.601828675,7.264916128,7.60014289,6.781423502,6.845294771,7.245274487,Arglu1
Arhgap1,3.691291541,4.060768594,4.634628296,3.883964219,3.455233179,3.66056751,3.108810223,4.325164393,4.776236942,4.244896377,2.418416579,4.77070677,4.31581817,4.324913771,3.633141947,4.107467127,4.327734902,2.913856957,4.474898007,4.093738822,3.912356395,3.575296955,4.181706941,3.395225217,Arhgap1
Arhgap10,6.289475896,6.431393861,6.372454231,6.709965733,6.158852593,6.011107182,5.097530992,5.971326282,5.887176098,5.952670514,5.572952798,5.999001081,3.057334229,4.482026618,3.774288368,3.41224885,3.699910797,2.872529795,5.478106693,5.109717548,5.507240186,5.248166931,5.626009458,4.992511252,Arhgap10
Arhgap12,5.009518072,5.702859742,6.086971377,5.338299723,5.124300144,6.066602685,5.267036546,4.401881282,5.157600841,4.659917623,5.635606258,5.236516981,5.710687697,5.533265794,4.92452204,5.872959616,4.961904582,5.572788792,5.248072134,5.778525133,4.961836145,4.98848304,5.0775184,4.93084392,Arhgap12
Arhgap17,3.691291541,4.890833769,4.545545052,5.04944123,4.47381327,4.798099819,4.101300542,3.969553487,4.701585051,4.730304629,4.171744268,3.849783435,4.474676602,4.324913771,4.078768243,4.321583675,4.918495519,5.61024408,4.474898007,4.516787806,4.689040618,4.785118054,4.262196895,4.728249219,Arhgap17
Arhgap20,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.421721999,5.663862386,3.435630321,5.092864389,6.679975445,5.255350233,5.678398022,4.521064089,3.407539665,3.164105912,5.833700739,4.573545872,3.704859078,3.667949665,3.276156696,4.90301475,3.805558255,4.653860748,Arhgap20
Arhgap21,4.715630049,4.707528267,5.647526414,5.293996764,5.340046223,5.383070315,4.683751104,5.231166377,4.847215296,5.337971243,5.004866608,4.77070677,4.397432816,5.285901493,4.790494685,4.386432551,5.004045577,5.183077272,5.248072134,5.699967204,4.876509916,4.413525649,4.545590502,5.163117817,Arhgap21
Arhgap29,5.281346017,5.001256828,4.872975108,5.224882037,5.064916337,5.093560145,4.962971412,5.028332823,4.847215296,5.659893242,6.042493793,5.976476936,5.694633194,5.71780266,5.51210209,5.97136216,5.967508649,5.767709023,5.748742968,5.16924672,5.766362385,5.208004068,5.032329615,5.453615225,Arhgap29
Arhgap35,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.501566381,4.113368393,4.812162578,4.145365347,3.36116965,4.943233863,5.505128784,4.097834408,4.41874307,4.56513269,4.259790498,3.648908198,4.085896755,3.748222352,4.07439213,3.808054218,4.096459613,3.64608099,Arhgap35
Arhgap44,5.462217232,4.640857905,4.797817961,5.152288917,4.278528499,4.9236327,4.875767514,4.673483745,4.776236942,4.730304629,4.801288159,4.604392498,4.867322992,4.426319966,4.535078495,4.253682098,4.779834234,4.232912568,4.780975787,3.824263042,4.689040618,4.54830738,5.032329615,4.102787508,Arhgap44
Arhgap5,5.253551677,5.152499244,5.364664304,4.754795093,4.79942884,5.50860253,7.687902943,7.64875516,7.56286837,7.547400722,7.64186793,7.718277804,7.550035297,7.221078785,7.394226214,7.356353136,7.342905539,6.682006881,6.793437503,6.764339057,6.451893666,6.828542279,6.532900169,6.821336123,Arhgap5
Arhgap6,5.136688557,5.199584042,4.797817961,4.617728643,4.645788032,4.798099819,5.780602547,5.94593048,5.782409761,5.425432291,5.06680685,5.527385442,5.710687697,5.704540193,5.230872946,4.912045848,5.786190451,4.910265458,5.390443518,5.888880823,5.449322893,5.501773764,5.032329615,5.409081817,Arhgap6
Arhgdia,5.470450478,5.427504463,5.228202342,5.192907652,5.381039057,5.454292898,6.056523929,6.306735223,6.189912183,6.349183142,6.011329699,6.609421754,6.573767356,6.224359583,6.25115831,6.333928584,6.589357223,5.767709023,5.434940843,4.605659832,5.32600864,5.416227167,5.975483933,5.599472988,Arhgdia
Arhgef1,3.989696104,3.431424253,4.718529288,4.879961645,4.37947261,4.660593896,4.101300542,3.752358505,3.238502102,4.585919608,4.475625597,4.120195526,4.31581817,5.114172516,4.078768243,4.448491442,4.392622838,5.717106578,4.557717041,4.516787806,5.118695144,4.099056113,4.410841038,4.575427126,Arhgef1
Arhgef10l,5.567557103,5.758949084,5.199289713,5.597206224,5.064916337,5.039111609,6.382393782,7.000730999,5.931294649,6.718716545,6.132139732,6.623986854,6.707785001,5.744360152,6.126888339,6.459800877,6.202812638,5.646751509,5.850803723,5.630926612,5.544783424,6.378846484,6.022459556,6.156980611,Arhgef10l
Arhgef11,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.468047492,3.969553487,4.148071243,4.244896377,3.926533666,4.20013328,4.31581817,3.064592419,3.828189742,4.253682098,3.861752427,4.78484354,3.9697183,4.42207966,4.689040618,4.413525649,3.805558255,4.575427126,Arhgef11
Arhgef12,6.562948162,6.780121083,6.264941293,6.75151281,6.617267767,7.025187591,6.79535524,6.49360807,6.592402113,6.623355489,7.721050574,6.549644795,7.769005329,7.57584195,7.367014395,7.31113697,7.513070063,6.783862561,7.602563916,7.468200799,7.60014289,7.548596203,7.319748475,7.401200931,Arhgef12
Arhgef17,6.083883194,7.073443995,5.95482476,6.269795708,5.842578269,6.120042306,6.57315672,6.245603456,6.134234945,6.42541795,5.946906212,5.011293111,5.773176642,5.783110494,6.216731293,5.394312945,5.81014116,4.910265458,5.946118954,5.573476461,6.140346701,6.093107357,6.045385955,5.836522007,Arhgef17
Arhgef3,4.236832329,3.840806608,3.083823086,4.10521418,3.629307818,4.508587871,3.755429214,3.496569199,2.738634884,3.338062667,4.280307112,3.636488737,4.229308189,3.828212598,4.078768243,4.773444065,3.310199413,4.969111199,2.693861443,2.784998898,3.729791678,4.482489916,4.181706941,4.210514485,Arhgef3
Arhgef6,6.792750232,6.748805618,6.460373996,7.046765839,6.79224144,6.731003328,6.53571773,6.76447973,6.82118516,6.813685155,7.232906379,6.788180486,7.312966825,7.242092798,7.156108029,7.216217414,7.177833743,6.832214799,6.500793179,6.821116694,6.732454775,6.511319882,6.750816047,6.621141796,Arhgef6
Arhgef7,5.136688557,5.66980162,5.415828966,5.381282642,5.289058416,5.196654985,5.045203361,5.390258832,5.669435515,5.623367992,5.655900344,5.729481338,5.467830059,5.338883921,5.454173093,5.515235755,5.432133404,5.751037975,5.197311799,5.16924672,5.668225146,5.468161354,4.937470404,5.409081817,Arhgef7
Arid1a,6.343209926,6.460681001,6.610670059,6.628997292,6.369848565,6.577089937,5.622803146,6.03702105,6.252177294,6.319123872,6.598440146,6.452289769,6.15674846,6.078702674,5.937354001,5.62465347,5.657972811,7.017868912,6.115071293,6.01332371,5.760182368,5.74207407,5.31603599,5.819607976,Arid1a
Arid1b,5.916732708,6.241966105,5.60406853,6.277324989,5.693706612,6.404773502,6.121144456,5.958684261,5.503568605,5.829815535,6.270182302,5.702286731,5.732868025,5.744360152,5.567794561,5.653396134,5.956819973,5.894565423,6.078233086,6.643605871,6.557095197,6.263464897,6.133613149,6.384717309,Arid1b
Arid2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.380079157,4.792242866,4.776236942,5.092864389,4.381269219,4.661987365,4.808862811,4.772855933,4.153474932,4.386432551,3.90687589,5.369370132,4.557717041,4.914800602,4.2200526,3.911715068,4.005857019,4.653860748,Arid2
Arid4a,5.253551677,4.707528267,5.077471249,5.152288917,5.236202367,4.982527269,5.681234784,5.099160249,5.782409761,5.24486387,5.004866608,5.729481338,5.349773684,5.621443179,5.594854796,5.038491307,5.303055033,6.411989987,4.848326163,5.047625944,5.191160582,5.035140875,5.284392963,5.731928971,Arid4a
Arid4b,6.505189994,6.307911196,6.925112533,6.540181643,6.241633676,6.404773502,5.780602547,6.044936779,6.393337976,6.42541795,6.679975445,5.808118432,6.100100828,6.319697596,6.471567071,6.249289544,6.202812638,6.863572167,6.373976592,6.341161836,6.437070184,6.219697358,6.351632463,6.621141796,Arid4b
Arid5b,6.204925129,6.470312735,6.118199725,6.314836534,6.369848565,6.066602685,5.681234784,6.044936779,5.412888587,6.092846329,6.722930321,6.826466636,5.611566219,6.915751792,6.234047491,6.249289544,5.87969619,7.266852366,6.750070805,7.151414266,6.406958317,5.929847046,5.797864515,5.767642513,Arid5b
Arih1,7.643286915,7.682873754,7.591882674,7.622501339,7.257663325,7.292884242,7.015316401,6.689951388,7.192232274,6.981806709,8.070083845,6.788180486,7.893781101,7.943961373,8.031337646,8.047264591,7.838295995,7.290118401,6.58217972,6.764339057,6.7565352,6.460943351,6.970358997,6.455842021,Arih1
Arih2,6.356336443,6.023852316,5.989013402,5.877956187,6.228162495,5.923643694,7.055552777,6.384412305,6.653088032,6.64173386,6.296273748,6.455062071,6.707785001,6.396683199,6.411952804,6.56159408,6.220793205,6.494428632,6.224826581,5.778525133,6.103269697,6.239756441,6.133613149,5.579517479,Arih2
Arl1,7.251986055,7.067110434,7.26912024,7.204675074,7.807740081,7.152468688,5.071604409,5.292899992,5.316124355,4.659917623,5.484943703,4.787883557,7.558930876,7.531010743,7.244203532,7.216217414,7.022490026,6.894262448,6.977674842,7.347765928,6.893142015,7.184700955,6.924102545,6.786943,Arl1
Arl11,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.299581542,3.000460912,5.546857104,3.659966383,4.647626496,3.747074311,4.808862811,5.23089888,4.41874307,4.507990544,4.779834234,3.135565972,4.193412749,4.320714681,3.520731101,4.98848304,4.60852178,5.409081817,Arl11
Arl16,4.941466123,4.771253245,5.012474153,5.201087891,5.693706612,4.9236327,5.780602547,5.003929311,4.148071243,4.981835966,4.564187815,4.120195526,5.175647692,5.052065453,5.195952493,5.543946607,5.711856029,4.495627456,3.9697183,4.320714681,4.2200526,4.890380923,4.096459613,4.93084392,Arl16
Arl2,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,6.887401472,7.145303102,7.064009553,7.268686098,6.42008994,6.40533896,7.323445357,6.769033865,7.450864315,7.376446619,7.258383474,5.534335111,6.542060279,6.601006783,6.176494659,6.511319882,7.017499088,6.365500652,Arl2
Arl3,5.196303081,5.886723073,5.847111088,5.719491777,6.040527402,5.696231321,5.220603991,4.610224903,5.010739174,4.695540343,5.572952798,4.77070677,4.31581817,4.847885257,4.41874307,4.028398929,4.779834234,4.413259279,5.117656911,4.879591475,4.876509916,5.398491844,4.782351292,5.21577991,Arl3
Arl4a,5.951748035,6.431393861,5.919806217,6.735037277,6.846148099,6.798117809,6.354066501,6.245603456,6.26959541,6.065879622,6.270182302,6.487283561,5.505128784,6.371475048,6.163499601,6.398237059,6.070253411,6.924313434,6.521574275,6.23372595,6.065214629,6.114992178,5.999162933,5.934042108,Arl4a
Arl5a,7.024207843,6.91319206,6.933914843,6.269795708,7.296905723,6.731003328,5.984155113,5.839625851,5.682304639,4.96733679,5.46989188,4.743218328,5.930058894,5.467217982,6.257438229,6.394300678,5.651358863,5.47790739,6.723410948,6.341161836,6.495471594,6.508511746,6.92780878,6.269121957,Arl5a
