,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ML_F1_10_a,ML_F1_201_d,ML_F1_205_b,ML_F1_205_c,ML_F1_208_b,ML_F1_8_c,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
Fkbp4,7.577929327,7.796795775,7.597016401,7.569522104,7.897141518,7.700168474,7.602584554,7.460618866,7.682862592,7.783412934,7.311539421,7.278188431,6.924925853,6.556538164,6.725278786,7.25375233,6.903133304,6.930506852,7.540614088,7.381140335,6.884460159,7.407403985,7.537053444,7.480780993
Fkbp8,5.416684325,5.059906257,4.900950414,4.927885035,3.80233416,4.353763736,5.189768695,3.853482834,4.307240435,3.685558343,4.405352173,3.810984734,5.085412132,4.335671311,5.481878116,4.919465401,5.47613729,5.592095014,4.485468926,4.435418855,4.976269969,4.608429072,5.15776935,3.218260367
Fkbp9,5.778085173,5.686178035,5.301144654,5.627309096,4.295222925,5.531129025,5.755921042,5.414113968,5.021402542,5.062828825,5.347794317,4.157942973,6.451736597,6.081542043,5.864713676,6.027252049,6.048708698,6.350455683,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746
Flad1,4.68322075,4.681701026,4.762764897,4.045594184,4.740683721,4.206483745,4.56290408,3.994421857,4.850757634,4.278557808,4.405352173,3.161478389,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,1.371671746,4.304432686,4.856161606,3.928577685,4.480059673,4.33467709,4.419587897
Flcn,4.462284998,4.618566641,4.762764897,4.927885035,3.647418746,3.755021493,5.721165491,5.896031144,6.097669792,6.449372545,5.811096675,3.353240425,4.191381344,4.137805439,3.778673555,4.848300119,4.418295126,4.452940978,5.099649705,4.435418855,4.951227074,4.781815806,4.475533212,4.225980678
Fli1,3.758262607,3.979516106,4.020788144,3.156674147,4.740683721,4.72241615,4.15292432,4.797293935,4.307240435,4.644685551,4.405352173,5.740543708,4.706569482,5.240129633,4.131524061,4.610955628,4.601275842,4.76386698,3.394086447,2.644087205,4.703822401,4.098027721,4.777177112,3.737470682
Flii,6.807701031,6.568257213,7.076168831,6.589042751,5.404648189,6.339259346,6.252782264,6.369658809,6.247081397,6.201741697,6.301213769,6.155285714,7.000492614,7.053711966,6.931963391,7.434686473,7.020231628,7.142556938,6.740602621,6.299836427,6.389593331,6.330303912,6.268392488,6.53327463
Flna,4.989660443,4.909775724,5.197668398,5.865221434,5.018692524,6.641221215,5.625309534,5.310070062,5.87641194,5.729218775,6.176892167,6.02044305,5.47269483,4.857647467,4.603946043,5.577172877,6.226349861,5.483052824,5.04297525,4.435418855,6.116789215,4.411320956,4.33467709,4.880854549
Flnc,8.153286334,8.008603024,8.778774202,9.660051783,9.01740361,10.52642588,9.411098642,10.02985903,9.901422493,10.46229358,9.524486479,8.678115101,1.371671746,2.976147538,1.980332119,2.459655242,2.453929711,1.371671746,8.2960511,8.096302892,8.963297646,8.548150848,7.59224495,8.47574885
Flot1,7.709470788,7.329378833,7.377834124,7.306572299,6.843027204,7.028722699,7.110939882,6.830893082,7.298980367,7.089723746,6.811789113,7.205453144,7.760942035,7.577033023,7.669536499,7.627670747,7.638076392,7.817439902,7.620253732,7.191690951,7.286023328,7.627914265,7.5688495,7.414145134
Flot2,6.743661845,6.855164909,6.575469673,7.135267899,7.411101585,6.984194357,6.970030979,6.607699759,6.910953184,6.910825439,6.858793467,6.722681793,7.256194997,6.757691063,6.461893718,7.030847065,7.113551949,6.930506852,6.283123866,6.188302641,6.293234702,6.1937162,6.397950572,6.61465997
Flrt2,4.380422216,4.800240712,4.900950414,4.34424182,5.747499503,4.667151082,4.054830464,4.943555875,4.804744872,3.786704995,5.015797717,4.597583751,4.084308414,4.456267647,3.229339583,5.38940261,4.317295203,4.452940978,3.717496546,4.856161606,4.367658392,5.03124382,4.777177112,5.883297636
Flt1,4.576978038,4.681701026,4.438959657,4.735617019,5.139887991,4.609684367,4.991917395,4.797293935,6.02427858,5.827450595,5.533080478,5.557839351,4.291053699,4.456267647,3.749834074,5.856426893,4.838445828,5.741607842,6.044156848,5.864677402,5.521147597,5.795580263,5.115335247,5.467446234
Flvcr1,4.102623853,4.483351203,4.96537717,5.200448323,5.892536858,4.775642062,4.244770951,5.46345105,5.209731547,4.644685551,4.126809047,5.557839351,3.189329564,4.05924156,3.596298156,3.303134535,3.66760506,3.264657852,6.181767741,7.302972933,7.164179761,5.203751949,6.188776344,6.355283479
Fmc1,8.159435203,8.020862843,8.047464118,7.67159139,7.423091964,7.651165882,7.645343589,7.74626682,7.917146371,8.019924271,7.545013378,7.790272926,6.166913747,5.880676619,5.647386002,6.027252049,6.016852767,6.151026479,8.6252856,8.724972032,8.418055761,8.387447009,8.37788503,8.53966
Fmo2,4.68322075,3.014743213,4.137230398,4.045594184,3.80233416,3.95284941,2.300529127,2.815142336,2.137258097,2.661175272,2.42710632,2.67887367,2.378891492,5.022991025,4.3393853,2.798554001,2.453929711,3.713955523,4.097374823,5.06002183,6.259629872,4.33914254,4.541118774,4.326029573
Fmod,4.813704698,4.334139738,4.020788144,5.627309096,5.080562532,5.561755311,5.235264753,3.853482834,3.649755977,3.685558343,4.126809047,1.948471605,6.451736597,5.880676619,4.959240231,5.994666949,6.549447719,6.440702743,5.859571207,4.9952172,5.463277246,5.03124382,6.015011718,4.002304404
Fmr1,3.996714223,4.334139738,4.295968755,4.099861738,5.168660285,4.775642062,5.069325575,5.687613118,5.001143562,4.958298271,4.742624044,5.902689403,3.552811906,4.94268665,4.43306727,4.326724518,3.963366263,4.332383444,4.304432686,5.152077451,4.800468942,4.88681567,4.441587369,5.203760375
Fn1,5.496570353,5.639236451,6.328431417,6.895544252,6.652476079,8.340034329,7.170705684,6.84957035,6.121326677,6.468528207,6.660823558,7.660239315,6.339809205,5.428821758,6.023742965,6.860473177,7.186957532,6.319073652,6.181767741,5.494478464,6.564917498,5.593239891,6.015011718,5.552521207
Fn3k,5.745756737,5.059906257,4.900950414,5.342262438,5.785148549,5.059358506,5.786806479,5.602080963,6.176568963,5.650890428,5.617502233,4.437426095,5.19240614,5.305807644,5.864713676,5.856426893,5.275369679,5.741607842,5.306403629,5.238609844,5.731879612,5.24383822,5.316027384,4.742861911
Fnbp1l,3.758262607,3.508283507,4.244972264,4.665378488,5.304496398,4.353763736,4.15292432,4.296218253,4.682851544,4.05349137,4.638721061,5.652081832,4.191381344,4.670871519,4.521035128,4.100427122,3.66760506,4.667483333,5.154181675,4.618678735,4.367658392,4.411320956,4.406823512,3.584266797
Fnbp4,4.68322075,4.681701026,4.609927818,5.663794331,6.80687739,5.015780036,4.937903776,7.179845463,4.938601647,4.589759361,4.885666909,6.687507137,3.552811906,4.857647467,4.7567117,3.6762367,4.208688631,2.118851082,4.304432686,5.293542885,5.915717118,4.33914254,3.804193017,5.510610733
Fndc1,5.043846313,4.961574651,4.762764897,5.429608761,6.479547689,6.626809737,6.379763382,5.46345105,5.278679309,5.539363707,5.935148853,5.902689403,5.877291271,5.836915418,5.993308657,5.994666949,6.140261706,5.592095014,5.353772878,5.06002183,5.463277246,4.88681567,4.541118774,4.742861911
Fndc3a,3.882409289,4.167696694,4.345223994,4.34424182,4.740683721,3.755021493,4.41258887,4.122809418,3.541694221,3.685558343,3.964373405,5.348595566,3.968647162,4.20406705,3.888590516,3.6762367,2.7917612,4.056055878,3.717496546,4.107762856,4.090246198,3.697267791,4.003488975,4.507446727
Fndc3b,4.462284998,4.253317193,4.900950414,5.249285077,5.857621447,5.221592487,5.590721621,5.602080963,4.895348127,5.650890428,5.412236884,5.933041047,5.243067538,5.923149399,5.647386002,5.819693209,5.881891462,6.000898772,4.097374823,4.702259267,3.746479132,4.33914254,4.72168399,5.177215762
Fnip1,6.807701031,6.292991409,5.802227055,6.148768222,6.502331729,6.391342717,6.161460689,7.359993177,7.177861055,6.75728941,6.674025225,6.75701922,6.893554907,6.934198746,7.335298212,6.68777992,7.186957532,7.069003363,6.550397079,6.956628338,6.670981214,6.521803407,6.500432398,6.61465997
Fnip2,4.539751014,3.641285815,4.345223994,4.045594184,5.304496398,3.95284941,4.762553989,4.718198281,3.649755977,4.797931756,4.126809047,4.934074901,4.084308414,4.05924156,3.596298156,3.831907934,4.317295203,3.895122139,4.097374823,4.529956688,3.840399588,4.545671673,4.093681527,4.590260786
Fnta,7.103945306,6.748623414,7.105053587,6.352491301,6.100956182,7.045072768,6.57818848,7.230601598,6.623512872,6.794198673,7.068274888,6.991396839,7.100047791,7.072702572,7.23481353,7.32100636,7.215304955,7.343082401,7.087408815,7.162475535,6.990693085,6.942973835,7.198962508,7.111764121
Fntb,4.989660443,5.059906257,5.802227055,4.735617019,5.542935482,5.401676334,5.555284069,4.872277635,5.021402542,5.062828825,4.839544029,4.741725074,5.385179267,5.099060147,5.080011395,5.285479123,5.916833752,5.788189771,3.564834972,4.618678735,3.294292241,4.26316196,4.178565768,3.412839399
Fos,9.174304892,8.584601594,7.524030321,9.131586493,6.408953659,9.075040535,5.404129634,7.924204802,7.650709474,7.807684014,8.92834973,9.295511742,7.515153549,8.38170652,8.630985358,8.574772196,7.270381619,7.343082401,5.099649705,5.293542885,5.205348672,6.330303912,6.126041437,5.671408055
Fosb,5.096070484,5.151961278,3.00818356,5.200448323,1.371671746,5.979757987,1.371671746,4.545673745,4.307240435,4.132479623,5.890605348,6.048438707,2.378891492,4.20406705,4.7567117,4.100427122,2.7917612,2.973617198,2.386653508,2.803983438,2.632031823,1.371671746,3.572884791,1.975076158
Foxj3,6.053702597,5.887056022,5.98426559,5.999748121,5.976298294,6.130380964,6.621665842,6.420512928,6.130681872,6.136169747,6.240391702,5.962767284,6.043719059,6.100172158,6.428160885,5.909831112,6.154971218,6.334849995,5.569766264,5.238609844,4.876043243,5.524280492,5.271505542,5.305308744
Foxk2,4.293633377,4.410673645,4.244972264,4.665378488,5.018692524,4.126792675,4.489703269,4.943555875,3.84426226,3.459130587,4.4673277,4.67145383,4.457334418,4.872462369,4.563086109,4.100427122,4.07028191,4.825019569,3.855538603,4.435418855,3.538029874,2.753005697,3.693169672,4.225980678
Foxn2,4.539751014,5.195875877,3.89411593,4.866599258,4.661921909,5.296344368,5.481685546,5.310070062,4.895348127,4.532658976,5.503805219,5.557839351,4.471851039,4.456267647,4.3393853,4.610955628,4.838445828,4.452940978,5.569766264,5.751514072,5.929887351,5.603443947,5.557030111,5.2640302
Foxn3,8.640247454,8.436884535,7.890406264,8.013016777,8.714939985,8.030868566,7.888990007,7.605015201,7.831964817,8.050755638,7.647820893,7.920194511,8.262470255,8.546996259,8.446721629,8.37405557,8.271799748,8.444914211,8.331976772,8.498214746,8.178339177,8.448755829,8.246427194,8.16051111
Foxo1,6.118259945,6.188181795,7.341883672,5.985405385,6.895608264,6.190411717,6.296363,6.921951448,6.229773742,7.30108941,5.47392358,7.604756452,5.777710078,5.880676619,6.883001406,7.52872434,6.457510512,6.077914542,6.758313511,6.523125689,6.225223575,6.330303912,5.944046281,6.179205489
Foxo3,5.712687236,5.607071465,5.614092933,5.511967341,7.204320465,5.142754739,6.458604839,6.84957035,5.244617274,6.599416286,5.380375387,6.325112205,3.189329564,2.120376957,2.735979671,2.015882001,2.453929711,2.608633188,6.307388092,6.299836427,6.189976647,6.253843817,5.86940868,6.096626362
Foxo4,6.474485491,5.761171546,6.089188201,5.734108179,5.857621447,5.401676334,5.786806479,5.511156552,5.46771416,5.510080841,5.890605348,5.477745653,6.362900159,5.836915418,6.023742965,6.625294697,6.307588977,6.220611322,5.75759337,4.702259267,6.078754418,5.076342888,5.735732555,5.177215762
Foxp1,4.933359729,4.800240712,5.250334047,5.249285077,5.892536858,5.561755311,5.817044551,5.645480809,5.422726473,5.729218775,5.533080478,7.445438604,5.243067538,5.923149399,5.391412504,6.150696351,5.652348351,5.483052824,5.62872559,5.711730587,5.576785861,5.697954495,5.492180325,5.280583863
Foxp2,3.882409289,4.185232133,4.244972264,4.251396128,4.661921909,3.64490757,2.860975866,4.545673745,4.371781404,4.170409058,4.126809047,3.673931352,4.908390454,4.767279962,4.015164667,3.501713369,3.493364246,4.564196545,4.485468926,5.446806885,4.600233637,4.668569942,4.572826335,5.122614808
Fras1,4.989660443,3.508283507,4.020788144,3.668541594,4.740683721,3.95284941,4.244770951,3.091070453,3.297763508,4.207366795,4.405352173,4.051300032,4.706569482,5.171318459,4.603946043,4.694484842,5.428503473,5.425276811,4.397788606,4.618678735,4.600233637,5.076342888,4.979987341,5.708955251
Frg1,5.195168206,4.856047509,5.086192952,4.591544559,6.115807491,5.182712068,6.06396554,6.205366195,5.831222991,5.677475209,5.671158109,5.774463555,4.96984297,4.49395007,4.850023426,4.773441419,5.163433168,4.809746939,5.353772878,5.751514072,5.576785861,5.712312054,6.037911781,5.377038311
Frmd4a,3.305043505,2.556891573,3.00818356,4.735617019,4.395998511,4.970844111,4.699025137,4.451002368,4.371781404,4.05349137,4.885666909,4.597583751,4.706569482,3.898238637,3.003647009,4.773441419,3.823051531,4.564196545,4.397788606,4.529956688,4.367658392,4.545671673,4.475533212,4.419587897
Frmd6,5.496570353,5.23849314,4.900950414,5.801153754,5.018692524,5.75966283,4.852891316,5.46345105,5.209731547,4.979819072,5.533080478,6.435237172,5.085412132,5.542165967,5.685957533,5.620530825,5.328241022,5.095573454,5.529077394,5.540625066,5.402988203,5.203751949,5.492180325,5.422950345
Frs2,4.293633377,4.909775724,4.438959657,4.986673129,5.747499503,4.876542017,5.235264753,5.197935486,4.757216113,4.644685551,5.47392358,5.596278199,4.191381344,5.099060147,4.239194987,4.522291406,4.684740347,4.332383444,4.922475423,4.618678735,5.056739454,4.545671673,5.115335247,4.742861911
Fry,6.846328446,6.601289346,6.978087586,7.318063909,6.757160793,7.028722699,6.663871201,6.585587175,6.014204823,6.620121371,6.090914762,5.947980726,2.378891492,2.610805952,3.229339583,3.501713369,2.453929711,3.506727023,7.378292823,7.381140335,7.5450654,7.188672025,6.913403606,7.480780993
Fryl,4.102623853,4.618566641,4.68836933,5.471375667,5.708841567,5.561755311,5.235264753,5.310070062,4.708068048,5.827450595,5.135155756,6.435237172,1.371671746,1.371671746,2.407074161,2.015882001,1.371671746,1.371671746,4.922475423,5.494478464,6.039689667,5.357818219,5.458628493,5.671408055
Fscn1,2.89756293,3.198661826,3.234188542,3.668541594,2.440584855,4.876542017,4.762553989,3.853482834,4.094244105,3.331025876,4.583821633,6.537548875,3.705134155,2.120376957,3.229339583,3.972405742,4.684740347,4.452940978,2.976575554,3.508380306,4.235609909,3.911518911,3.693169672,4.326029573
Fsd1l,5.712687236,5.670699928,4.8335115,6.096342746,6.456398046,6.109802494,6.379763382,5.844820255,5.634824947,6.126554211,5.722889797,6.10285113,5.555203853,5.791785176,6.461893718,5.961328832,6.048708698,5.919538643,6.072749159,6.568379088,6.116789215,5.996655602,6.209096062,6.23174392
Fsd2,6.768010868,6.551453133,6.616170989,6.480731704,6.946340131,6.724791729,7.110939882,6.493583243,7.331796987,6.921985883,6.926547597,6.614475521,6.743277692,6.913280653,7.23481353,6.468023318,6.79459517,6.730348147,6.610137036,6.756098546,5.999537626,6.646665612,7.375643785,6.672820962
Fst,3.996714223,3.979516106,4.986021845,4.431471934,5.542935482,4.667151082,4.937903776,4.349679511,3.541694221,4.346400422,4.839544029,3.673931352,4.191381344,3.898238637,4.015164667,3.831907934,4.763639103,3.895122139,4.097374823,4.107762856,3.746479132,3.301049879,3.572884791,4.118473069
Fstl1,5.043846313,5.23849314,5.4881839,6.736782278,6.179395879,7.394679239,6.867862148,6.289849923,5.634824947,5.881731974,6.728189689,5.774463555,5.811673289,5.348196432,5.288389318,5.730291054,6.415369182,6.065486796,5.452814199,4.781261694,5.151398087,5.320816487,5.198990914,5.560759157
Fth1,10.47831398,10.57143593,10.59294937,10.42049028,10.26623016,10.03691081,9.932058483,9.851978129,9.868502727,9.928385449,10.31789876,9.621991462,2.449623717,2.336918768,2.099420858,2.140262102,2.111872629,2.118851082,8.614775582,9.608356591,8.625736713,9.403413859,8.593864909,8.655968251
Ftl,7.968829323,8.049569049,7.926455748,8.102323428,7.54989423,8.519640599,8.451688353,8.079266839,9.377227448,9.277371097,8.528275161,7.510285382,6.842390794,6.506297463,6.619652657,6.803670137,6.673753468,6.483793916,8.458980836,8.148865221,7.831543063,8.475811635,8.469801721,8.519620474
Fto,6.532488715,7.35865237,7.401312851,6.663001599,6.878293306,6.655490154,6.399881342,6.420512928,6.610198488,6.871069634,6.176892167,6.413874419,6.268232428,6.118564758,6.220502981,5.961328832,6.253940993,6.039920515,6.793096071,5.827933799,6.116789215,6.311565419,6.70027099,6.378770837
Ftsj1,5.043846313,5.378457607,4.933523402,4.700925162,5.278333112,5.349971431,5.118715846,4.240699416,5.080526525,5.38661718,5.380375387,5.049393112,5.19240614,5.022991025,5.244097556,4.987284647,4.838445828,4.939232595,5.64785514,5.397506087,5.240226514,5.480325805,5.619089835,5.280583863
Ftsj3,4.904363426,4.800240712,4.900950414,4.927885035,4.415335623,4.353763736,5.235264753,4.499114474,3.974660848,4.532658976,3.680244816,4.992885909,4.876653876,5.542165967,4.3393853,4.811356249,5.302047538,4.854212702,4.304432686,4.702259267,4.652957558,4.754326765,4.406823512,4.507446727
Fubp1,4.648668595,4.372914141,4.900950414,5.342262438,6.024316018,5.059358506,4.823402951,6.161193604,5.376290653,5.303717527,5.036389144,6.477036485,4.354178189,3.868987913,3.724858924,3.806600937,3.553220994,4.50964095,4.858228257,5.771001839,5.893978321,4.88681567,4.219205618,5.671408055
Fuca1,4.102623853,3.508283507,4.020788144,4.152161782,3.942216125,3.755021493,4.762553989,3.522064715,4.239676365,4.797931756,4.405352173,4.257242644,5.243067538,5.022991025,4.827427718,4.919465401,4.909564136,4.939232595,4.720455994,4.856161606,4.367658392,4.513238635,4.136747852,4.326029573
Fundc1,5.712687236,6.188181795,6.226963712,6.272057805,6.384633245,6.408294217,6.379763382,6.234080665,6.346781196,6.437755862,6.592939973,5.991893367,6.057938485,6.384824448,6.082750688,6.027252049,5.95094971,5.960792165,5.859571207,6.188302641,6.420333874,6.1937162,6.343843797,6.179205489
Fundc2,7.052010598,6.973425761,7.039230138,6.663001599,6.568601338,7.194246187,6.458604839,6.563130383,6.744223835,6.700092252,6.725656022,6.456288205,4.844203419,4.456267647,4.682349955,4.218008331,4.418295126,5.236616384,6.686126804,7.063220173,6.537136776,6.924594068,6.97402949,7.054578122
Fuom,6.192098817,5.701491844,5.4881839,6.096342746,5.821840029,6.582690873,5.87568332,5.986567715,6.774379864,6.626957554,5.913049005,6.456288205,3.382487861,4.335671311,2.735979671,3.072792283,4.091235642,3.713955523,6.560527111,6.067418323,6.389593331,6.593362923,6.209096062,6.594739992
Furin,6.040437089,6.42800254,6.468390154,6.470469795,6.256472814,6.321471831,6.439294714,6.052539355,5.853994388,6.219941874,5.999487006,6.10285113,6.595141253,6.154661111,6.483951906,6.179974863,6.409247234,6.800199101,6.307388092,5.628713009,6.326074557,6.367066176,6.209096062,6.009031922
Fus,6.998136285,6.755976254,6.533586673,7.135267899,6.692653003,7.297940678,6.828772232,6.343543344,7.094260719,7.079792526,7.053197681,7.52729561,7.218713843,7.172904729,7.040132759,7.494174447,7.46000082,7.448354293,7.550812803,7.565413792,7.480892661,7.389646648,7.043569903,7.580370441
Fxn,4.87477236,4.681701026,4.996542794,4.553160485,4.578610645,4.85197086,5.555284069,5.363029738,6.044217496,6.164637708,5.748076253,5.962767284,7.292726998,7.014963952,7.12680254,7.046828065,6.57154489,6.888365269,3.200381863,4.702259267,4.235609909,4.33914254,4.406823512,3.875955929
Fxr1,9.235741107,9.289236557,9.245647042,9.163246224,9.540664274,8.985170269,8.797004305,8.88818839,8.62602651,8.508657664,8.885494836,8.158928736,9.776201525,9.739119352,9.970874331,9.681559752,9.835050684,9.702293969,8.856640387,9.112564048,9.205362703,8.832378203,9.156425434,8.907804449
Fxr2,6.393331841,6.272629789,6.490451316,5.880803467,6.115807491,6.002262507,5.959401207,5.881584008,6.063884596,6.155210666,6.050993724,5.557839351,6.113454815,6.154661111,6.05354849,5.892248445,5.846081812,5.960792165,5.954814117,5.711730587,6.389593331,6.554046601,6.209096062,5.7812394
Fxyd1,9.702362153,9.782349712,9.652639131,9.467098349,9.037041943,9.37794344,9.435667751,9.243957955,9.356784592,9.346718358,9.398919493,8.77764049,3.842898754,3.267415073,3.424454831,3.6762367,3.823051531,4.056055878,9.456652803,9.436197499,9.242392311,9.524969883,9.657462465,9.518865721
Fxyd6,4.462284998,4.483351203,4.96537717,5.926564541,4.490191965,4.970844111,4.15292432,3.091070453,4.094244105,3.786704995,4.930360809,4.519726227,2.185217231,2.386331402,2.580879669,2.639033025,2.7917612,2.384427665,6.283123866,6.428124066,5.826724606,6.855124424,6.450101268,6.65369331
Fyco1,7.202521601,7.36827969,7.076168831,7.109046845,6.750895356,7.403160307,6.828772232,6.445283195,6.943167869,6.732147978,6.634052189,6.932523842,5.085412132,5.542165967,5.020889196,5.532471392,5.37924306,5.095573454,7.827402936,7.537238773,7.30261897,7.679978049,7.833846863,7.585426302
Fyn,3.47244071,3.014743213,3.89411593,2.935782716,4.069726052,5.142754739,4.762553989,4.349679511,4.015633207,4.532658976,4.340594321,5.740543708,3.842898754,4.20406705,4.7567117,4.218008331,4.512684531,4.200825396,4.922475423,4.618678735,4.600233637,4.668569942,5.239067316,4.668578083
Fyttd1,6.743661845,7.100160098,7.001320761,6.792216647,6.490984686,6.860315416,7.320701687,7.209067246,6.985031463,7.044484797,7.255557925,6.230528761,7.24380916,7.635676657,7.50130113,7.397779516,7.27712068,7.237934828,6.818643493,6.511587015,7.070383802,6.90597712,6.931860364,7.16000745
Fzd4,5.608671827,5.818480246,4.68836933,5.956284923,6.145059186,6.088926242,5.87568332,5.728549833,5.96275311,6.483671692,5.245389091,7.005747215,5.47269483,5.964407461,5.685957533,6.29148579,6.384496306,5.788189771,6.258444556,5.827933799,6.412709927,6.311565419,6.488013272,5.718191326
Fzd8,4.989660443,4.856047509,4.609927818,5.097516697,3.942216125,4.487391368,5.043981545,4.349679511,4.657186434,4.845598174,5.096456656,4.257242644,4.96984297,4.94268665,4.43306727,5.892248445,4.763639103,5.236616384,4.858228257,4.435418855,4.600233637,4.608429072,4.33467709,4.507446727
G0s2,5.572263999,6.551453133,6.173421823,6.295500007,8.695299269,6.150670028,5.363730031,2.815142336,3.424878207,2.155940861,4.742624044,3.161478389,7.292726998,5.305807644,5.930443485,3.6762367,4.601275842,4.939232595,3.564834972,4.334248956,4.600233637,6.173103585,5.678589703,7.010150131
G3bp1,5.929678811,6.303065457,6.213763373,6.396516905,7.050497003,6.567679583,6.942864093,6.773365134,6.943167869,6.899577985,6.787699883,6.855384404,5.909013984,5.630430184,5.673342584,5.874448846,5.46059134,5.464241355,6.366321146,6.272750888,6.309748069,6.488823095,6.397950572,6.554055414
G6pc3,5.332114144,6.166274171,6.145886808,5.296522642,5.080562532,5.933667611,6.06396554,5.197935486,5.78457271,5.850997926,5.748076253,5.740543708,6.535418635,5.964407461,5.930443485,6.208670987,5.881891462,5.643673547,5.75759337,5.446806885,5.826724606,5.924496276,6.037911781,6.152200925
Gaa,7.011794642,7.117389279,7.260774547,6.663001599,5.959930543,6.321471831,6.230488062,6.692909071,6.569501812,6.406312817,5.956915268,6.392190577,6.166913747,6.354108026,6.321954949,6.357042455,6.169532266,6.497876295,6.233335714,6.36540573,6.658141908,6.008338908,5.707444028,6.331407405
Gab1,3.882409289,3.763054927,3.234188542,4.431471934,3.80233416,3.755021493,4.823402951,4.545673745,4.239676365,4.278557808,4.272792533,5.435967182,3.552811906,4.567556256,4.3393853,4.427819226,3.963366263,3.895122139,3.717496546,3.683128023,4.367658392,4.33914254,5.071615104,3.584266797
Gab2,3.622418372,2.803904573,4.137230398,3.517240473,5.080562532,3.64490757,4.244770951,4.634513394,4.938601647,4.748636477,4.583821633,3.353240425,2.966252568,3.509641011,3.888590516,4.610955628,3.823051531,4.332383444,3.200381863,4.435418855,3.928577685,4.726303758,4.093681527,4.002304404
Gabarapl1,6.494080156,6.209761718,7.329698317,7.19880839,6.929626946,7.563083503,6.704876875,7.98459748,7.570485948,8.200331989,6.507024586,7.595298259,5.028784471,4.456267647,3.888590516,5.743294938,5.220486774,4.854212702,6.758313511,6.499955309,6.970063095,6.1937162,6.147257632,5.177215762
Gabarapl2,7.948378031,8.664915952,8.209184117,8.144695316,7.746209486,7.969374789,8.394582985,8.309792742,8.481496249,8.588468984,8.295134038,7.011732065,8.723608581,8.523032946,8.549658133,8.518580253,8.33775096,8.609601065,8.620451784,8.483524179,8.20506755,8.5421353,8.630410013,8.44826033
Gabpa,4.989660443,4.828413935,5.573332112,4.735617019,5.542935482,4.667151082,5.322166451,4.634513394,4.757216113,4.644685551,4.791897767,5.255589543,4.96984297,5.368625433,4.7567117,5.173484419,5.37924306,5.236616384,4.858228257,5.397506087,4.976269969,5.120074776,4.979987341,5.177215762
Gabpb2,4.293633377,4.681701026,4.68836933,4.591544559,4.954049872,4.970844111,4.881788998,4.634513394,4.631056467,4.278557808,4.340594321,5.670213471,3.382487861,3.509641011,3.229339583,3.6762367,3.66760506,2.608633188,4.204615229,5.122040199,5.056739454,5.076342888,4.541118774,5.632857495
Gadd45a,6.329322981,6.166274171,6.8215606,6.069397857,7.103614818,7.223273639,6.872620764,7.466680901,6.943167869,6.667308052,6.431300651,6.02044305,7.24380916,7.250008444,6.13943947,6.842274682,7.719496995,6.000898772,6.57058651,7.162475535,6.358183491,6.385101887,6.810769545,6.282436104
Gadd45gip1,6.454621022,5.731640268,6.278589435,6.069397857,5.139887991,5.836819407,6.038526338,5.076345039,5.209731547,4.936451576,6.195321868,5.049393112,1.371671746,1.371671746,1.371671746,1.371671746,2.7917612,1.371671746,5.609338978,5.711730587,6.116789215,5.996655602,6.104508575,5.915773357
Gadl1,9.442326583,8.380914786,8.587342887,9.108610229,6.631960099,9.397176576,8.34054639,7.775862727,7.470880001,7.81966813,7.752151931,8.726571494,3.382487861,3.509641011,4.131524061,4.848300119,4.838445828,4.452940978,3.200381863,5.397506087,4.891045601,3.445554571,5.278060465,3.412839399
Gak,4.613268578,4.800240712,4.244972264,4.927885035,4.661921909,4.826973959,4.489703269,4.451002368,4.938601647,4.697597062,4.4673277,5.255589543,1.371671746,2.120376957,1.371671746,1.371671746,1.371671746,2.118851082,3.855538603,4.927364131,4.488627598,4.668569942,4.33467709,3.875955929
Galnt1,6.913353893,7.184319312,7.016604255,6.832838492,6.825065521,6.75160635,6.685831218,6.445283195,6.370665603,6.387595835,6.275460498,6.159656007,6.778051434,6.384824448,6.931963391,6.444088176,6.954486306,6.844955583,6.610137036,6.696198884,6.479917071,6.747703551,6.557015336,6.69169833
Galnt11,6.285016167,6.272629789,6.117816022,6.148768222,5.139887991,5.933667611,6.06396554,6.205366195,5.736363417,5.510080841,5.890605348,5.348595566,5.555203853,5.697054976,5.685957533,5.23056825,5.771680343,5.302282889,5.792393089,5.751514072,5.999537626,6.042831644,5.790698038,5.947534101
Galnt15,4.201287462,4.681701026,5.027049378,4.34424182,4.295222925,4.775642062,3.578024412,5.255091968,4.604444493,4.532658976,3.062570596,4.67145383,1.371671746,1.371671746,1.371671746,2.015882001,1.371671746,2.118851082,4.097374823,4.702259267,5.132956711,4.781815806,3.693169672,4.590260786
Galnt17,6.23930541,5.151961278,5.614092933,5.043159178,6.359895807,5.649916389,5.625309534,5.13842084,5.736363417,5.984739936,6.712920514,5.774463555,5.028784471,5.428821758,4.89483884,4.987284647,4.763639103,5.643673547,7.073328011,6.716443032,6.927896445,6.788929327,6.728699137,7.039920286
